State,Year,Beltran_Leyva,Beltran_Leyva_Family,Familia,Golfo,Juarez,Sinaloa,Sinaloa_Family,Tijuana,Zetas,Otros
1,1990,0,0,0,0,0,0,0,0,0,0
1,1991,0,0,0,0,0,0,0,0,0,0
1,1992,0,0,0,0,0,0,0,0,0,0
1,1993,0,0,0,0,0,0,0,0,0,0
1,1994,0,0,0,0,0,0,0,0,0,0
1,1995,0,0,0,0,0,0,0,0,0,0
1,1996,0,0,0,0,0,0,0,0,0,0
1,1997,0,0,0,0,0,1,0,0,0,0
1,1998,0,0,0,0,0,0,0,0,0,0
1,1999,0,0,0,0,0,0,0,0,0,0
1,2000,0,0,0,0,0,0,0,0,0,0
1,2001,0,0,0,0,0,1,0,0,0,0
1,2002,0,0,0,0,1,0,0,0,0,0
1,2003,0,0,0,0,0,0,0,1,0,0
1,2004,0,0,0,0,1,0,0,0,2,0
1,2005,0,0,1,0,1,1,0,0,0,0
1,2006,0,0,0,1,1,0,0,1,2,0
1,2007,0,0,1,1,0,2,0,0,5,0
1,2008,1,0,1,2,1,1,0,0,2,0
1,2009,1,0,1,2,0,1,0,0,5,0
1,2010,1,0,2,0,1,2,0,0,5,0
2,1990,0,0,0,0,0,0,0,0,0,0
2,1991,0,0,0,0,0,0,0,0,0,0
2,1992,0,0,0,0,0,0,0,3,1,0
2,1993,0,0,0,0,0,1,0,1,1,0
2,1994,0,0,0,1,0,0,0,2,1,0
2,1995,0,0,0,0,0,1,0,1,0,0
2,1996,0,0,0,0,1,1,0,1,0,0
2,1997,0,0,0,0,1,1,1,2,0,0
2,1998,0,0,0,0,1,1,0,3,0,0
2,1999,0,0,0,1,1,0,0,1,1,0
2,2000,0,0,0,0,0,2,0,4,0,0
2,2001,0,0,0,2,0,1,0,3,0,0
2,2002,0,0,0,0,0,2,0,2,0,0
2,2003,0,0,0,0,1,0,0,2,0,0
2,2004,0,0,0,0,0,0,0,5,0,1
2,2005,0,0,1,1,1,2,0,5,0,0
2,2006,1,0,0,0,0,1,0,5,0,4
2,2007,0,0,0,0,1,3,1,5,1,5
2,2008,0,0,0,0,0,2,1,5,1,5
2,2009,0,0,1,0,0,0,1,5,2,5
2,2010,1,0,2,0,0,3,1,5,2,5
3,1990,0,0,0,0,0,0,0,0,0,0
3,1991,0,0,0,0,0,0,0,0,0,0
3,1992,0,0,0,0,0,0,0,0,0,0
3,1993,0,0,0,0,0,0,0,0,0,0
3,1994,0,0,0,0,0,0,0,0,0,0
3,1995,0,0,0,0,0,0,0,0,0,0
3,1996,0,0,0,0,0,0,0,0,0,0
3,1997,0,0,0,0,0,0,0,0,0,0
3,1998,0,0,0,0,0,0,0,1,0,0
3,1999,0,0,0,0,0,0,0,0,0,0
3,2000,0,0,0,0,0,0,0,0,0,0
3,2001,0,0,0,0,0,0,0,1,0,0
3,2002,0,0,0,0,0,0,0,0,0,0
3,2003,0,0,0,0,0,0,0,0,0,0
3,2004,0,0,0,0,0,0,0,0,0,0
3,2005,0,0,0,0,1,0,0,1,0,0
3,2006,0,0,0,0,0,1,0,2,0,0
3,2007,0,0,0,0,0,0,0,2,0,0
3,2008,0,0,1,1,0,0,0,1,0,1
3,2009,0,1,0,1,0,1,0,2,0,2
3,2010,0,0,0,0,0,1,0,3,0,2
4,1990,0,0,0,0,0,0,0,0,0,0
4,1991,0,0,0,0,0,0,0,0,0,0
4,1992,0,0,0,0,0,0,0,0,0,0
4,1993,0,0,0,0,0,0,0,0,0,0
4,1994,0,0,0,0,0,0,0,0,0,0
4,1995,0,0,0,1,0,0,0,0,0,0
4,1996,0,0,0,0,0,0,0,1,0,0
4,1997,0,0,0,0,1,0,0,0,0,0
4,1998,0,0,0,0,0,0,0,0,0,0
4,1999,0,0,0,0,0,0,0,1,0,0
4,2000,0,0,0,1,0,0,0,0,0,0
4,2001,0,0,0,0,1,0,0,0,0,0
4,2002,0,0,0,1,0,0,0,0,0,0
4,2003,0,0,0,1,0,0,0,0,1,0
4,2004,1,0,0,0,0,1,0,0,1,0
4,2005,0,0,0,0,0,1,0,0,0,0
4,2006,0,0,0,1,0,1,0,0,2,0
4,2007,0,0,0,1,0,0,0,0,3,0
4,2008,0,0,0,2,0,0,0,0,3,0
4,2009,1,0,0,3,0,0,0,0,3,0
4,2010,1,0,1,1,0,0,0,0,2,0
5,1990,0,0,0,0,0,0,0,0,0,0
5,1991,0,0,0,0,0,0,0,0,0,0
5,1992,0,0,0,0,0,0,0,0,0,0
5,1993,0,0,0,0,0,0,0,1,0,0
5,1994,0,0,0,1,0,0,0,0,0,0
5,1995,0,0,0,0,0,0,0,0,0,0
5,1996,0,0,0,0,1,0,0,0,0,0
5,1997,0,0,0,2,0,0,0,0,0,0
5,1998,0,0,0,0,0,0,0,0,0,0
5,1999,0,0,0,0,0,0,0,1,0,0
5,2000,0,0,0,3,0,0,0,0,0,0
5,2001,0,0,0,0,0,1,0,0,0,0
5,2002,0,0,0,0,3,0,0,0,0,0
5,2003,0,0,0,3,5,0,0,1,0,0
5,2004,0,0,0,4,1,0,0,0,4,0
5,2005,2,0,1,2,5,3,0,2,3,0
5,2006,0,0,0,3,2,3,0,0,8,0
5,2007,0,0,0,10,1,1,0,0,14,0
5,2008,4,1,0,14,2,10,1,1,12,0
5,2009,3,6,1,14,4,4,1,3,15,1
5,2010,0,6,2,17,8,2,0,6,17,0
6,1990,0,0,0,0,0,0,0,0,0,0
6,1991,0,0,0,0,0,0,0,0,0,0
6,1992,0,0,0,0,0,0,0,0,0,0
6,1993,0,0,0,0,0,0,0,0,0,0
6,1994,0,0,0,0,0,0,0,0,0,0
6,1995,0,0,0,0,0,0,0,0,0,0
6,1996,0,0,0,0,0,0,0,0,0,0
6,1997,0,0,0,0,0,0,0,1,0,0
6,1998,0,0,0,0,1,0,0,0,0,0
6,1999,0,0,0,0,0,0,0,0,0,0
6,2000,0,0,0,2,0,0,0,0,0,0
6,2001,0,0,0,0,1,1,0,0,0,0
6,2002,0,0,0,1,0,0,0,0,0,0
6,2003,1,0,0,0,1,1,0,0,0,0
6,2004,1,0,1,1,0,1,0,0,0,0
6,2005,1,0,0,1,1,1,0,0,0,0
6,2006,0,0,0,0,0,1,0,0,0,0
6,2007,1,0,0,1,1,2,1,0,0,2
6,2008,1,0,0,4,0,2,0,0,1,0
6,2009,0,0,3,2,0,2,0,0,3,2
6,2010,1,1,4,0,1,4,1,1,1,4
7,1990,0,0,0,0,0,0,0,0,0,0
7,1991,0,0,0,0,0,0,0,0,0,0
7,1992,0,0,0,0,0,0,0,0,0,0
7,1993,0,0,0,0,0,1,0,0,0,0
7,1994,0,0,0,0,0,0,0,1,0,0
7,1995,0,0,0,0,0,0,0,1,0,0
7,1996,0,0,0,0,0,0,0,0,0,0
7,1997,0,0,0,0,0,0,0,0,0,0
7,1998,0,0,0,1,0,1,0,1,2,0
7,1999,0,0,0,0,0,0,0,0,0,0
7,2000,0,0,0,0,1,0,0,0,0,0
7,2001,0,0,0,0,0,0,0,0,0,0
7,2002,0,0,0,1,0,0,0,1,0,0
7,2003,0,0,0,0,0,1,0,1,0,0
7,2004,0,0,0,2,0,1,0,0,0,0
7,2005,1,0,0,4,3,1,0,1,6,0
7,2006,0,0,0,2,4,2,0,1,2,0
7,2007,1,0,0,4,2,3,0,1,6,0
7,2008,1,0,0,15,0,0,1,0,17,1
7,2009,2,0,0,10,1,1,1,0,21,0
7,2010,4,0,0,11,0,0,1,0,21,1
8,1990,0,0,0,0,0,0,0,0,0,0
8,1991,0,0,0,0,0,0,0,0,0,0
8,1992,0,0,0,0,0,0,0,0,0,0
8,1993,0,0,0,0,0,3,0,0,0,0
8,1994,0,0,0,1,0,0,0,0,0,0
8,1995,0,0,0,0,1,0,0,0,0,0
8,1996,0,0,0,2,3,1,0,0,0,0
8,1997,0,0,0,0,4,1,0,3,0,0
8,1998,0,0,0,0,2,0,0,0,0,0
8,1999,0,0,0,0,5,0,0,0,0,0
8,2000,0,0,0,0,0,4,0,0,0,0
8,2001,0,0,0,0,1,2,2,0,0,0
8,2002,0,0,0,0,4,0,0,1,0,0
8,2003,0,0,0,3,2,0,0,1,0,0
8,2004,2,0,0,0,6,4,0,1,1,0
8,2005,4,0,3,6,6,5,0,0,5,0
8,2006,4,1,2,3,5,9,1,6,2,0
8,2007,2,0,0,8,11,9,0,4,8,0
8,2008,3,2,4,3,27,15,3,5,6,3
8,2009,2,1,6,10,28,32,3,5,8,2
8,2010,5,0,7,7,28,34,3,2,8,3
9,1990,0,0,0,0,0,0,0,0,0,0
9,1991,0,0,0,0,0,0,0,0,0,0
9,1992,0,0,0,0,0,0,0,0,0,0
9,1993,0,0,0,0,0,0,0,1,0,0
9,1994,0,0,0,0,0,0,0,0,1,0
9,1995,0,0,0,0,0,0,0,0,0,0
9,1996,0,0,0,0,0,0,0,0,0,0
9,1997,0,0,0,0,0,0,0,0,0,0
9,1998,0,0,0,0,0,0,0,0,0,0
9,1999,0,0,0,0,0,0,0,0,0,0
9,2000,0,0,0,0,0,0,0,1,0,0
9,2001,0,0,0,0,0,1,0,2,1,0
9,2002,0,0,0,0,0,0,0,0,0,0
9,2003,0,0,0,0,0,0,0,0,0,0
9,2004,0,0,0,0,0,0,0,1,0,0
9,2005,1,0,0,3,1,2,0,0,2,0
9,2006,2,0,1,3,1,1,0,0,1,0
9,2007,1,0,1,3,1,5,0,0,6,0
9,2008,8,0,5,4,0,10,4,0,3,0
9,2009,8,1,3,2,0,7,2,2,4,0
9,2010,10,2,6,5,2,4,1,2,1,5
10,1990,0,0,0,0,0,0,0,0,0,0
10,1991,0,0,0,0,0,0,0,0,0,0
10,1992,0,0,0,0,0,0,0,0,0,0
10,1993,0,0,0,0,0,0,0,0,0,0
10,1994,0,0,0,0,0,0,0,0,0,0
10,1995,0,0,0,0,1,0,0,0,0,0
10,1996,0,0,0,0,0,0,0,3,0,0
10,1997,0,0,0,0,0,0,0,1,0,0
10,1998,0,0,0,0,0,0,0,0,0,0
10,1999,0,0,0,0,1,0,0,0,0,0
10,2000,0,0,0,0,0,0,0,0,0,0
10,2001,0,0,0,0,0,3,0,0,0,0
10,2002,0,0,0,1,0,1,0,0,0,0
10,2003,0,0,0,1,3,0,0,0,0,0
10,2004,0,0,0,2,0,1,0,1,3,0
10,2005,2,0,1,1,0,3,0,0,2,0
10,2006,1,0,1,2,1,2,0,0,2,0
10,2007,0,0,0,1,5,6,0,1,2,1
10,2008,5,4,4,6,2,9,2,0,8,0
10,2009,1,1,2,4,1,19,3,3,9,1
10,2010,1,3,2,5,4,20,4,1,11,0
11,1990,0,0,0,0,0,0,0,0,0,0
11,1991,0,0,0,0,0,0,0,0,0,0
11,1992,0,0,0,0,0,0,0,0,0,0
11,1993,0,0,0,0,0,1,0,0,0,0
11,1994,0,0,0,0,0,0,0,1,4,0
11,1995,0,0,0,1,0,0,0,0,0,0
11,1996,0,0,0,1,0,0,0,0,0,0
11,1997,0,0,0,0,1,0,0,0,0,0
11,1998,0,0,0,0,0,0,0,0,0,0
11,1999,0,0,0,1,0,0,0,0,0,0
11,2000,0,0,0,0,0,2,0,1,0,0
11,2001,0,0,0,0,1,0,0,0,0,0
11,2002,0,0,0,0,1,0,0,0,0,0
11,2003,0,0,0,0,0,0,0,0,3,0
11,2004,0,0,0,2,0,2,0,0,0,0
11,2005,2,0,1,3,1,1,0,0,2,0
11,2006,1,0,2,4,3,3,0,0,2,0
11,2007,2,0,1,1,2,8,1,0,4,0
11,2008,0,0,18,27,0,3,1,0,15,1
11,2009,1,0,34,22,0,2,0,0,30,1
11,2010,0,0,36,17,1,2,2,1,23,0
12,1990,0,0,0,0,0,0,0,0,0,0
12,1991,0,0,0,0,0,0,0,0,0,0
12,1992,0,0,0,0,0,0,0,0,0,0
12,1993,0,0,0,0,0,0,0,0,0,0
12,1994,0,0,0,1,0,0,0,0,0,0
12,1995,0,0,0,0,0,0,0,0,0,0
12,1996,0,0,0,0,1,0,1,0,0,0
12,1997,0,0,1,0,2,0,0,0,0,0
12,1998,0,0,0,0,0,0,0,1,0,0
12,1999,0,0,0,0,0,0,0,0,0,0
12,2000,0,0,0,0,1,1,0,0,0,0
12,2001,2,0,0,0,0,0,1,0,0,0
12,2002,0,0,0,1,1,1,1,0,0,0
12,2003,0,0,0,0,1,0,1,1,0,0
12,2004,0,0,0,1,1,0,0,0,0,0
12,2005,5,0,0,1,0,1,6,0,3,0
12,2006,4,0,0,2,0,4,0,0,6,0
12,2007,1,1,3,6,1,4,2,1,8,1
12,2008,10,5,4,2,3,10,8,0,11,3
12,2009,20,8,14,3,0,3,10,0,14,3
12,2010,20,7,13,4,3,7,9,0,13,0
13,1990,0,0,0,0,0,0,0,0,0,0
13,1991,0,0,0,0,0,0,0,0,0,0
13,1992,0,0,0,0,0,0,0,0,0,0
13,1993,0,0,0,0,0,0,0,0,0,0
13,1994,0,0,0,0,0,0,0,0,0,0
13,1995,0,0,0,0,0,0,0,0,0,0
13,1996,0,0,0,0,0,0,0,0,0,0
13,1997,0,0,0,0,0,0,0,0,0,0
13,1998,0,0,0,0,0,0,0,0,0,0
13,1999,0,0,0,0,0,0,0,0,0,0
13,2000,0,0,0,0,0,0,0,0,0,0
13,2001,1,0,0,0,0,1,0,0,0,0
13,2002,0,0,0,0,0,0,0,0,0,0
13,2003,0,0,0,0,0,0,0,0,0,0
13,2004,0,0,0,0,0,0,0,0,0,0
13,2005,0,0,0,0,0,0,0,0,0,0
13,2006,0,0,0,1,0,0,0,0,2,0
13,2007,0,0,0,3,0,0,0,0,5,0
13,2008,2,0,0,5,0,0,0,0,8,0
13,2009,1,0,0,6,0,1,0,0,12,0
13,2010,1,0,1,2,0,1,0,0,13,0
14,1990,0,0,0,0,0,0,0,0,0,0
14,1991,0,0,0,0,0,0,0,0,0,0
14,1992,0,0,0,0,0,0,0,0,0,0
14,1993,0,0,0,0,0,2,0,0,0,0
14,1994,0,0,0,0,0,0,0,2,0,0
14,1995,0,0,0,0,1,3,0,1,0,0
14,1996,0,0,0,0,0,1,0,1,0,0
14,1997,0,0,0,0,1,2,0,3,0,0
14,1998,0,0,0,0,1,1,0,2,0,0
14,1999,0,0,0,0,0,1,0,0,0,0
14,2000,0,0,0,0,0,2,0,0,0,0
14,2001,0,0,0,0,0,3,0,0,0,0
14,2002,0,0,0,0,0,2,0,1,0,0
14,2003,0,0,0,0,2,1,0,2,1,0
14,2004,1,0,0,3,0,2,0,0,1,0
14,2005,3,0,2,5,0,6,0,1,6,1
14,2006,0,0,0,6,0,5,0,1,7,0
14,2007,3,0,0,5,1,6,0,2,4,1
14,2008,5,1,0,5,1,11,0,1,7,0
14,2009,2,1,2,7,2,11,1,1,14,2
14,2010,2,2,13,13,1,16,4,1,16,1
15,1990,0,0,0,0,0,0,0,0,0,0
15,1991,0,0,0,0,0,0,0,0,0,0
15,1992,0,0,0,0,0,0,0,0,0,0
15,1993,0,0,0,0,0,0,0,2,0,0
15,1994,0,0,0,0,0,0,0,0,1,0
15,1995,0,0,0,0,0,0,0,1,0,0
15,1996,0,0,0,0,0,0,0,2,1,0
15,1997,0,0,0,0,2,2,0,1,0,0
15,1998,0,0,0,1,2,1,0,0,0,0
15,1999,0,0,0,0,0,0,0,0,1,0
15,2000,0,0,0,1,0,0,0,2,0,0
15,2001,1,0,0,1,1,1,0,1,0,0
15,2002,0,0,0,0,0,0,0,2,0,0
15,2003,0,0,0,3,0,2,0,1,1,0
15,2004,0,0,0,3,0,8,0,2,7,1
15,2005,4,0,0,8,0,3,0,4,2,0
15,2006,5,0,0,6,3,3,0,4,1,0
15,2007,2,1,0,3,4,10,0,6,4,2
15,2008,15,1,30,11,0,8,2,4,29,7
15,2009,32,4,32,3,3,9,2,2,34,2
15,2010,23,6,34,6,2,5,4,3,23,6
16,1990,0,0,0,0,0,0,0,0,0,0
16,1991,0,0,0,0,0,0,0,0,0,0
16,1992,0,0,0,0,0,0,0,0,0,0
16,1993,0,0,0,0,0,0,0,0,0,0
16,1994,0,0,0,0,0,0,0,0,0,0
16,1995,0,0,0,0,0,0,0,0,0,0
16,1996,0,0,0,0,0,0,0,0,0,0
16,1997,0,0,0,0,0,0,0,0,0,0
16,1998,0,0,0,0,2,0,0,0,0,0
16,1999,0,0,0,0,0,0,0,0,0,0
16,2000,0,0,0,1,0,0,0,0,0,0
16,2001,1,0,0,0,0,0,0,1,0,0
16,2002,0,0,0,0,0,0,0,0,0,0
16,2003,0,0,0,0,0,0,0,1,0,0
16,2004,0,0,3,5,0,0,0,0,3,0
16,2005,1,0,3,16,3,3,0,0,6,0
16,2006,4,0,32,19,1,8,0,1,17,1
16,2007,5,0,18,21,2,6,0,1,22,0
16,2008,4,0,27,21,2,3,4,3,28,1
16,2009,1,3,68,10,1,4,3,3,24,4
16,2010,4,2,69,9,1,3,4,3,20,5
17,1990,0,0,0,0,0,0,0,0,0,0
17,1991,0,0,0,0,0,0,0,0,0,0
17,1992,0,0,0,0,0,0,0,0,0,0
17,1993,0,0,0,0,0,0,0,0,0,0
17,1994,0,0,0,1,0,0,0,0,0,0
17,1995,0,0,0,0,1,0,0,0,0,0
17,1996,0,0,0,0,0,0,0,0,0,0
17,1997,0,0,0,0,1,0,0,0,0,0
17,1998,0,0,0,0,2,0,0,0,0,0
17,1999,0,0,0,0,0,0,0,0,1,0
17,2000,0,0,0,0,0,1,0,0,0,0
17,2001,0,0,0,0,0,0,0,0,0,0
17,2002,0,0,0,0,0,1,0,0,0,0
17,2003,1,0,0,0,0,0,0,0,0,0
17,2004,0,0,0,0,1,0,0,0,0,0
17,2005,0,0,1,0,0,3,0,0,1,0
17,2006,0,0,0,3,0,0,0,0,1,0
17,2007,3,0,0,4,0,2,0,1,2,0
17,2008,10,3,0,3,0,5,0,0,3,1
17,2009,21,13,2,0,2,1,1,0,2,1
17,2010,21,14,7,2,1,3,9,0,3,6
18,1990,0,0,0,0,0,0,0,0,0,0
18,1991,0,0,0,0,0,0,0,0,0,0
18,1992,0,0,0,0,0,0,0,0,0,0
18,1993,0,0,0,0,0,0,0,0,0,0
18,1994,0,0,0,0,0,0,0,0,0,0
18,1995,0,0,0,0,0,1,0,0,0,0
18,1996,0,0,0,0,0,0,0,0,0,0
18,1997,0,0,0,0,0,0,0,0,0,0
18,1998,0,0,0,0,0,0,0,0,0,0
18,1999,0,0,0,0,0,0,0,0,0,0
18,2000,0,0,0,0,0,0,0,0,0,0
18,2001,0,0,0,0,0,0,0,0,0,0
18,2002,0,0,0,0,0,0,0,0,0,0
18,2003,0,0,0,0,0,1,0,0,0,0
18,2004,0,0,0,0,0,1,0,0,0,0
18,2005,0,0,1,0,0,2,0,0,0,0
18,2006,0,0,0,0,1,1,0,0,1,0
18,2007,0,0,0,0,0,0,0,0,1,0
18,2008,1,1,1,0,0,1,0,0,1,0
18,2009,1,1,1,0,0,1,0,0,2,1
18,2010,1,2,0,0,0,3,1,0,2,0
19,1990,0,0,0,0,0,0,0,0,0,0
19,1991,0,0,0,0,0,0,0,0,0,0
19,1992,0,0,0,0,0,0,0,0,0,0
19,1993,0,0,0,1,0,0,0,0,0,0
19,1994,0,0,0,2,0,0,0,0,0,0
19,1995,0,0,0,1,0,0,0,0,0,0
19,1996,0,0,0,2,1,0,0,0,0,0
19,1997,0,0,0,0,1,0,0,0,0,0
19,1998,0,0,0,1,0,0,0,0,0,0
19,1999,0,0,0,1,0,0,0,2,0,0
19,2000,0,0,0,2,0,1,0,0,0,0
19,2001,1,0,0,1,1,2,0,1,0,0
19,2002,0,0,0,1,0,0,0,1,0,0
19,2003,0,0,0,2,0,1,0,1,4,0
19,2004,3,0,0,3,1,4,0,1,5,0
19,2005,2,0,2,7,2,6,0,0,6,0
19,2006,7,5,0,13,3,5,0,0,15,1
19,2007,8,6,1,29,0,7,1,1,25,0
19,2008,5,2,3,20,1,10,2,1,20,0
19,2009,9,7,0,31,2,4,0,1,34,3
19,2010,7,3,3,35,2,8,1,1,46,3
20,1990,0,0,0,0,0,0,0,0,0,0
20,1991,0,0,0,0,0,0,0,0,0,0
20,1992,0,0,0,0,0,0,0,0,0,0
20,1993,0,0,0,0,0,0,0,0,0,0
20,1994,0,0,0,0,0,0,0,0,0,0
20,1995,0,0,0,0,0,0,0,0,0,0
20,1996,0,0,0,1,0,0,0,1,0,0
