A,B,Weight
1,Beltran_Leyva,1
1,Familia,2
1,Juarez,1
1,Sinaloa,2
1,Zetas,5
2,Beltran_Leyva,1
2,Familia,2
2,Otros,5
2,Sinaloa,3
2,Sinaloa_Family,1
2,Tijuana,5
2,Zetas,2
3,Otros,2
3,Sinaloa,1
3,Tijuana,3
4,Beltran_Leyva,1
4,Familia,1
4,Golfo,1
4,Zetas,2
5,Beltran_Leyva_Family,6
5,Familia,2
5,Golfo,17
5,Juarez,8
5,Sinaloa,2
5,Tijuana,6
5,Zetas,17
6,Beltran_Leyva,1
6,Beltran_Leyva_Family,1
6,Familia,4
6,Juarez,1
6,Otros,4
6,Sinaloa,4
6,Sinaloa_Family,1
6,Tijuana,1
6,Zetas,1
7,Beltran_Leyva,4
7,Golfo,11
7,Otros,1
7,Sinaloa_Family,1
7,Zetas,21
8,Beltran_Leyva,5
8,Familia,7
8,Golfo,7
8,Juarez,28
8,Otros,3
8,Sinaloa,34
8,Sinaloa_Family,3
8,Tijuana,2
8,Zetas,8
9,Beltran_Leyva,10
9,Beltran_Leyva_Family,2
9,Familia,6
9,Golfo,5
9,Juarez,2
9,Otros,5
9,Sinaloa,4
9,Sinaloa_Family,1
9,Tijuana,2
9,Zetas,1
10,Beltran_Leyva,1
10,Beltran_Leyva_Family,3
10,Familia,2
10,Golfo,5
10,Juarez,4
10,Sinaloa,20
10,Sinaloa_Family,4
10,Tijuana,1
10,Zetas,11
11,Familia,36
11,Golfo,17
11,Juarez,1
11,Sinaloa,2
11,Sinaloa_Family,2
11,Tijuana,1
11,Zetas,23
12,Beltran_Leyva,20
12,Beltran_Leyva_Family,7
12,Familia,13
12,Golfo,4
12,Juarez,3
12,Sinaloa,7
12,Sinaloa_Family,9
12,Zetas,13
13,Beltran_Leyva,1
13,Familia,1
13,Golfo,2
13,Sinaloa,1
13,Zetas,13
14,Beltran_Leyva,2
14,Beltran_Leyva_Family,2
14,Familia,13
14,Golfo,13
14,Juarez,1
14,Otros,1
14,Sinaloa,16
14,Sinaloa_Family,4
14,Tijuana,1
14,Zetas,16
15,Beltran_Leyva,23
15,Beltran_Leyva_Family,6
15,Familia,34
15,Golfo,6
15,Juarez,2
15,Otros,6
15,Sinaloa,5
15,Sinaloa_Family,4
15,Tijuana,3
15,Zetas,23
16,Beltran_Leyva,4
16,Beltran_Leyva_Family,2
16,Familia,69
16,Golfo,9
16,Juarez,1
16,Otros,5
16,Sinaloa,3
16,Sinaloa_Family,4
16,Tijuana,3
16,Zetas,20
17,Beltran_Leyva,21
17,Beltran_Leyva_Family,14
17,Familia,7
17,Golfo,2
17,Juarez,1
17,Otros,6
17,Sinaloa,3
17,Sinaloa_Family,9
17,Zetas,3
18,Beltran_Leyva,1
18,Beltran_Leyva_Family,2
18,Sinaloa,3
18,Sinaloa_Family,1
18,Zetas,2
19,Beltran_Leyva,7
19,Beltran_Leyva_Family,3
19,Familia,3
19,Golfo,35
19,Juarez,2
19,Otros,3
19,Sinaloa,8
19,Sinaloa_Family,1
19,Tijuana,1
19,Zetas,46
20,Beltran_Leyva,2
20,Beltran_Leyva_Family,1
20,Familia,3
20,Golfo,4
20,Sinaloa,1
20,Zetas,18
21,Beltran_Leyva,11
21,Beltran_Leyva_Family,1
21,Familia,3
21,Golfo,7
21,Juarez,2
21,Sinaloa,2
21,Tijuana,1
21,Zetas,21
22,Beltran_Leyva,2
22,Familia,1
22,Golfo,1
22,Sinaloa,2
22,Zetas,3
23,Beltran_Leyva,2
23,Familia,3
23,Golfo,4
23,Otros,1
23,Sinaloa,3
23,Zetas,5
24,Familia,3
24,Golfo,5
24,Sinaloa,1
24,Sinaloa_Family,1
24,Zetas,4
25,Beltran_Leyva,8
25,Beltran_Leyva_Family,2
25,Familia,1
25,Golfo,3
25,Juarez,8
25,Otros,3
25,Sinaloa,14
25,Sinaloa_Family,3
25,Tijuana,4
25,Zetas,7
26,Beltran_Leyva,10
26,Beltran_Leyva_Family,1
26,Familia,1
26,Golfo,4
26,Juarez,3
26,Sinaloa,8
26,Sinaloa_Family,1
26,Tijuana,3
26,Zetas,8
27,Beltran_Leyva,2
27,Golfo,10
27,Otros,1
27,Sinaloa,1
27,Zetas,16
28,Beltran_Leyva,4
28,Beltran_Leyva_Family,2
28,Familia,3
28,Golfo,33
28,Juarez,2
28,Otros,6
28,Sinaloa,6
28,Sinaloa_Family,2
28,Zetas,34
29,Zetas,1
30,Beltran_Leyva,9
30,Beltran_Leyva_Family,2
30,Familia,5
30,Golfo,23
30,Juarez,2
30,Otros,1
30,Sinaloa,13
30,Tijuana,2
30,Zetas,41
31,Beltran_Leyva,2
31,Golfo,3
31,Juarez,1
31,Otros,1
31,Sinaloa,2
31,Zetas,7
32,Beltran_Leyva,2
32,Familia,2
32,Golfo,13
32,Juarez,1
32,Sinaloa,5
32,Sinaloa_Family,1
32,Zetas,13
