A,B,Weight
1,2001_1,1
1,2002_1,1
1,2003_1,1
1,2004_1,1
1,2004_1,2
1,2005_1,1
1,2005_1,1
1,2005_1,1
1,2006_1,1
1,2006_1,1
1,2006_1,1
1,2006_1,2
1,2007_1,1
1,2007_1,1
1,2007_1,2
1,2007_1,5
1,2008_1,1
1,2008_1,1
1,2008_1,2
1,2008_1,1
1,2008_1,1
1,2008_1,2
1,2009_1,1
1,2009_1,1
1,2009_1,2
1,2009_1,1
1,2009_1,5
1,2010_1,1
1,2010_1,2
1,2010_1,1
1,2010_1,2
1,2010_1,5
2,2000_2,2
2,2000_2,4
2,2001_2,2
2,2001_2,1
2,2001_2,3
2,2002_2,2
2,2002_2,2
2,2003_2,1
2,2003_2,2
2,2004_2,5
2,2004_2,1
2,2005_2,1
2,2005_2,1
2,2005_2,1
2,2005_2,2
2,2005_2,5
2,2006_2,1
2,2006_2,1
2,2006_2,5
2,2006_2,4
2,2007_2,1
2,2007_2,3
2,2007_2,1
2,2007_2,5
2,2007_2,1
2,2007_2,5
2,2008_2,2
2,2008_2,1
2,2008_2,5
2,2008_2,1
2,2008_2,5
2,2009_2,1
2,2009_2,1
2,2009_2,5
2,2009_2,2
2,2009_2,5
2,2010_2,1
2,2010_2,2
2,2010_2,3
2,2010_2,1
2,2010_2,5
2,2010_2,2
2,2010_2,5
3,2001_3,1
3,2005_3,1
3,2005_3,1
3,2006_3,1
3,2006_3,2
3,2007_3,2
3,2008_3,1
3,2008_3,1
3,2008_3,1
3,2008_3,1
3,2009_3,1
3,2009_3,1
3,2009_3,1
3,2009_3,2
3,2009_3,2
3,2010_3,1
3,2010_3,3
3,2010_3,2
4,2000_4,1
4,2001_4,1
4,2002_4,1
4,2003_4,1
4,2003_4,1
4,2004_4,1
4,2004_4,1
4,2004_4,1
4,2005_4,1
4,2006_4,1
4,2006_4,1
4,2006_4,2
4,2007_4,1
4,2007_4,3
4,2008_4,2
4,2008_4,3
4,2009_4,1
4,2009_4,3
4,2009_4,3
4,2010_4,1
4,2010_4,1
4,2010_4,1
4,2010_4,2
5,2000_5,3
5,2001_5,1
5,2002_5,3
5,2003_5,3
5,2003_5,5
5,2003_5,1
5,2004_5,4
5,2004_5,1
5,2004_5,4
5,2005_5,2
5,2005_5,1
5,2005_5,2
5,2005_5,5
5,2005_5,3
5,2005_5,2
5,2005_5,3
5,2006_5,3
5,2006_5,2
5,2006_5,3
5,2006_5,8
5,2007_5,10
5,2007_5,1
5,2007_5,1
5,2007_5,14
5,2008_5,4
5,2008_5,1
5,2008_5,14
5,2008_5,2
5,2008_5,10
5,2008_5,1
5,2008_5,1
5,2008_5,12
5,2009_5,3
5,2009_5,6
5,2009_5,1
5,2009_5,14
5,2009_5,4
5,2009_5,4
5,2009_5,1
5,2009_5,3
5,2009_5,15
5,2009_5,1
5,2010_5,6
5,2010_5,2
5,2010_5,17
5,2010_5,8
5,2010_5,2
5,2010_5,6
5,2010_5,17
6,2000_6,2
6,2001_6,1
6,2001_6,1
6,2002_6,1
6,2003_6,1
6,2003_6,1
6,2003_6,1
6,2004_6,1
6,2004_6,1
6,2004_6,1
6,2004_6,1
6,2005_6,1
6,2005_6,1
6,2005_6,1
6,2005_6,1
6,2006_6,1
6,2007_6,1
6,2007_6,1
6,2007_6,1
6,2007_6,2
6,2007_6,1
6,2007_6,2
6,2008_6,1
6,2008_6,4
6,2008_6,2
6,2008_6,1
6,2009_6,3
6,2009_6,2
6,2009_6,2
6,2009_6,3
6,2009_6,2
6,2010_6,1
6,2010_6,1
6,2010_6,4
6,2010_6,1
6,2010_6,4
6,2010_6,1
6,2010_6,1
6,2010_6,1
6,2010_6,4
7,2000_7,1
7,2002_7,1
7,2002_7,1
7,2003_7,1
7,2003_7,1
7,2004_7,2
7,2004_7,1
7,2005_7,1
7,2005_7,4
7,2005_7,3
7,2005_7,1
7,2005_7,1
7,2005_7,6
7,2006_7,2
7,2006_7,4
7,2006_7,2
7,2006_7,1
7,2006_7,2
7,2007_7,1
7,2007_7,4
7,2007_7,2
7,2007_7,3
7,2007_7,1
7,2007_7,6
7,2008_7,1
7,2008_7,15
7,2008_7,1
7,2008_7,17
7,2008_7,1
7,2009_7,2
7,2009_7,10
7,2009_7,1
7,2009_7,1
7,2009_7,1
7,2009_7,21
7,2010_7,4
7,2010_7,11
7,2010_7,1
7,2010_7,21
7,2010_7,1
8,2000_8,4
8,2001_8,1
8,2001_8,2
8,2001_8,2
8,2002_8,4
8,2002_8,1
8,2003_8,3
8,2003_8,2
8,2003_8,1
8,2004_8,2
8,2004_8,6
8,2004_8,4
8,2004_8,1
8,2004_8,1
8,2005_8,4
8,2005_8,3
8,2005_8,6
8,2005_8,6
8,2005_8,5
8,2005_8,5
8,2006_8,4
8,2006_8,1
8,2006_8,2
8,2006_8,3
8,2006_8,5
8,2006_8,9
8,2006_8,1
8,2006_8,6
8,2006_8,2
8,2007_8,2
8,2007_8,8
8,2007_8,11
8,2007_8,9
8,2007_8,4
8,2007_8,8
8,2008_8,3
8,2008_8,2
8,2008_8,4
8,2008_8,3
8,2008_8,27
8,2008_8,15
8,2008_8,3
8,2008_8,5
8,2008_8,6
8,2008_8,3
8,2009_8,2
8,2009_8,1
8,2009_8,6
8,2009_8,10
8,2009_8,28
8,2009_8,32
8,2009_8,3
8,2009_8,5
8,2009_8,8
8,2009_8,2
8,2010_8,5
8,2010_8,7
8,2010_8,7
8,2010_8,28
8,2010_8,34
8,2010_8,3
8,2010_8,2
8,2010_8,8
8,2010_8,3
9,2000_9,1
9,2001_9,1
9,2001_9,2
9,2001_9,1
9,2004_9,1
9,2005_9,1
9,2005_9,3
9,2005_9,1
9,2005_9,2
9,2005_9,2
9,2006_9,2
9,2006_9,1
9,2006_9,3
9,2006_9,1
9,2006_9,1
9,2006_9,1
9,2007_9,1
9,2007_9,1
9,2007_9,3
9,2007_9,1
9,2007_9,5
9,2007_9,6
9,2008_9,8
9,2008_9,5
9,2008_9,4
9,2008_9,10
9,2008_9,4
9,2008_9,3
9,2009_9,8
9,2009_9,1
9,2009_9,3
9,2009_9,2
9,2009_9,7
9,2009_9,2
9,2009_9,2
9,2009_9,4
9,2010_9,10
9,2010_9,2
9,2010_9,6
9,2010_9,5
9,2010_9,2
9,2010_9,4
9,2010_9,1
9,2010_9,2
9,2010_9,1
9,2010_9,5
10,2001_10,3
10,2002_10,1
10,2002_10,1
10,2003_10,1
10,2003_10,3
10,2004_10,2
10,2004_10,1
10,2004_10,1
10,2004_10,3
10,2005_10,2
10,2005_10,1
10,2005_10,1
10,2005_10,3
10,2005_10,2
10,2006_10,1
10,2006_10,1
10,2006_10,2
10,2006_10,1
10,2006_10,2
10,2006_10,2
10,2007_10,1
10,2007_10,5
10,2007_10,6
10,2007_10,1
10,2007_10,2
10,2007_10,1
10,2008_10,5
10,2008_10,4
10,2008_10,4
10,2008_10,6
10,2008_10,2
10,2008_10,9
10,2008_10,2
10,2008_10,8
10,2009_10,1
10,2009_10,1
10,2009_10,2
10,2009_10,4
10,2009_10,1
10,2009_10,19
10,2009_10,3
10,2009_10,3
10,2009_10,9
10,2009_10,1
10,2010_10,1
10,2010_10,3
10,2010_10,2
10,2010_10,5
10,2010_10,4
10,2010_10,20
10,2010_10,4
10,2010_10,1
10,2010_10,11
11,2000_11,2
11,2000_11,1
11,2001_11,1
11,2002_11,1
11,2003_11,3
11,2004_11,2
11,2004_11,2
11,2005_11,2
11,2005_11,1
11,2005_11,3
11,2005_11,1
11,2005_11,1
11,2005_11,2
11,2006_11,1
11,2006_11,2
11,2006_11,4
11,2006_11,3
11,2006_11,3
11,2006_11,2
11,2007_11,2
11,2007_11,1
11,2007_11,1
11,2007_11,2
11,2007_11,8
11,2007_11,1
11,2007_11,4
11,2008_11,18
11,2008_11,27
11,2008_11,3
11,2008_11,1
11,2008_11,15
11,2008_11,1
11,2009_11,1
11,2009_11,34
11,2009_11,22
11,2009_11,2
11,2009_11,30
11,2009_11,1
11,2010_11,36
11,2010_11,17
11,2010_11,1
11,2010_11,2
11,2010_11,2
11,2010_11,1
11,2010_11,23
12,2000_12,1
12,2000_12,1
12,2001_12,2
12,2001_12,1
12,2002_12,1
12,2002_12,1
12,2002_12,1
12,2002_12,1
12,2003_12,1
12,2003_12,1
12,2003_12,1
12,2004_12,1
12,2004_12,1
12,2005_12,5
12,2005_12,1
12,2005_12,1
12,2005_12,6
12,2005_12,3
12,2006_12,4
12,2006_12,2
12,2006_12,4
12,2006_12,6
12,2007_12,1
12,2007_12,1
12,2007_12,3
12,2007_12,6
12,2007_12,1
12,2007_12,4
12,2007_12,2
12,2007_12,1
12,2007_12,8
12,2007_12,1
12,2008_12,10
12,2008_12,5
12,2008_12,4
12,2008_12,2
12,2008_12,3
12,2008_12,10
12,2008_12,8
12,2008_12,11
12,2008_12,3
12,2009_12,20
12,2009_12,8
12,2009_12,14
12,2009_12,3
12,2009_12,3
12,2009_12,10
12,2009_12,14
12,2009_12,3
12,2010_12,20
12,2010_12,7
12,2010_12,13
12,2010_12,4
12,2010_12,3
12,2010_12,7
12,2010_12,9
12,2010_12,13
13,2001_13,1
13,2001_13,1
13,2006_13,1
13,2006_13,2
13,2007_13,3
13,2007_13,5
13,2008_13,2
13,2008_13,5
13,2008_13,8
13,2009_13,1
13,2009_13,6
13,2009_13,1
13,2009_13,12
13,2010_13,1
13,2010_13,1
13,2010_13,2
13,2010_13,1
13,2010_13,13
14,2000_14,2
14,2001_14,3
14,2002_14,2
14,2002_14,1
14,2003_14,2
14,2003_14,1
14,2003_14,2
14,2003_14,1
14,2004_14,1
14,2004_14,3
14,2004_14,2
14,2004_14,1
14,2005_14,3
14,2005_14,2
14,2005_14,5
14,2005_14,6
14,2005_14,1
14,2005_14,6
14,2005_14,1
14,2006_14,6
14,2006_14,5
14,2006_14,1
14,2006_14,7
14,2007_14,3
14,2007_14,5
14,2007_14,1
14,2007_14,6
14,2007_14,2
14,2007_14,4
14,2007_14,1
14,2008_14,5
14,2008_14,1
14,2008_14,5
14,2008_14,1
14,2008_14,11
14,2008_14,1
14,2008_14,7
14,2009_14,2
14,2009_14,1
