A,B,Weight
1997_1,Sinaloa,1
1992_2,Tijuana,3
1992_2,Zetas,1
1993_2,Sinaloa,1
1993_2,Tijuana,1
1993_2,Zetas,1
1994_2,Golfo,1
1994_2,Tijuana,2
1994_2,Zetas,1
1995_2,Sinaloa,1
1995_2,Tijuana,1
1996_2,Juarez,1
1996_2,Sinaloa,1
1996_2,Tijuana,1
1997_2,Juarez,1
1997_2,Sinaloa,1
1997_2,Sinaloa_Family,1
1997_2,Tijuana,2
1998_2,Juarez,1
1998_2,Sinaloa,1
1998_2,Tijuana,3
1999_2,Golfo,1
1999_2,Juarez,1
1999_2,Tijuana,1
1999_2,Zetas,1
1998_3,Tijuana,1
1995_4,Golfo,1
1996_4,Tijuana,1
1997_4,Juarez,1
1999_4,Tijuana,1
1993_5,Tijuana,1
1994_5,Golfo,1
1996_5,Juarez,1
1997_5,Golfo,2
1999_5,Tijuana,1
1997_6,Tijuana,1
1998_6,Juarez,1
1993_7,Sinaloa,1
1994_7,Tijuana,1
1995_7,Tijuana,1
1998_7,Golfo,1
1998_7,Sinaloa,1
1998_7,Tijuana,1
1998_7,Zetas,2
1993_8,Sinaloa,3
1994_8,Golfo,1
1995_8,Juarez,1
1996_8,Golfo,2
1996_8,Juarez,3
1996_8,Sinaloa,1
1997_8,Juarez,4
1997_8,Sinaloa,1
1997_8,Tijuana,3
1998_8,Juarez,2
1999_8,Juarez,5
1993_9,Tijuana,1
1994_9,Zetas,1
1995_10,Juarez,1
1996_10,Tijuana,3
1997_10,Tijuana,1
1999_10,Juarez,1
1993_11,Sinaloa,1
1994_11,Tijuana,1
1994_11,Zetas,4
1995_11,Golfo,1
1996_11,Golfo,1
1997_11,Juarez,1
1999_11,Golfo,1
1994_12,Golfo,1
1996_12,Juarez,1
1996_12,Sinaloa_Family,1
1997_12,Familia,1
1997_12,Juarez,2
1998_12,Tijuana,1
1993_14,Sinaloa,2
1994_14,Tijuana,2
1995_14,Juarez,1
1995_14,Sinaloa,3
1995_14,Tijuana,1
1996_14,Sinaloa,1
1996_14,Tijuana,1
1997_14,Juarez,1
1997_14,Sinaloa,2
1997_14,Tijuana,3
1998_14,Juarez,1
1998_14,Sinaloa,1
1998_14,Tijuana,2
1999_14,Sinaloa,1
1993_15,Tijuana,2
1994_15,Zetas,1
1995_15,Tijuana,1
1996_15,Tijuana,2
1996_15,Zetas,1
1997_15,Juarez,2
1997_15,Sinaloa,2
1997_15,Tijuana,1
1998_15,Golfo,1
1998_15,Juarez,2
1998_15,Sinaloa,1
1999_15,Zetas,1
1998_16,Juarez,2
1994_17,Golfo,1
1995_17,Juarez,1
1997_17,Juarez,1
1998_17,Juarez,2
1999_17,Zetas,1
1995_18,Sinaloa,1
1993_19,Golfo,1
1994_19,Golfo,2
1995_19,Golfo,1
1996_19,Golfo,2
1996_19,Juarez,1
1997_19,Juarez,1
1998_19,Golfo,1
1999_19,Golfo,1
1999_19,Tijuana,2
1996_20,Golfo,1
1996_20,Tijuana,1
1998_20,Zetas,1
1993_21,Sinaloa,1
1996_21,Golfo,1
1997_21,Golfo,1
1998_21,Golfo,1
1998_21,Zetas,1
1999_21,Golfo,1
1994_22,Zetas,1
1998_23,Juarez,1
1996_24,Golfo,1
1997_24,Tijuana,1
1991_25,Sinaloa,2
1992_25,Zetas,1
1993_25,Juarez,1
1993_25,Sinaloa,1
1993_25,Zetas,1
1994_25,Sinaloa,2
1994_25,Zetas,1
1995_25,Sinaloa,1
1996_25,Juarez,1
1997_25,Sinaloa,2
1998_25,Sinaloa,4
1999_25,Zetas,1
1991_26,Sinaloa,1
1993_26,Zetas,1
1994_26,Zetas,1
1995_26,Sinaloa,1
1996_26,Tijuana,1
1997_26,Juarez,3
1998_26,Golfo,1
1998_26,Juarez,2
1998_26,Sinaloa,2
1999_26,Tijuana,1
1999_26,Zetas,1
1998_27,Zetas,1
1991_28,Golfo,3
1992_28,Golfo,1
1993_28,Sinaloa,1
1993_28,Tijuana,1
1994_28,Golfo,4
1995_28,Golfo,3
1996_28,Golfo,2
1996_28,Juarez,1
1997_28,Golfo,1
1997_28,Juarez,1
1997_28,Sinaloa,1
1997_28,Tijuana,1
1998_28,Golfo,2
1998_28,Juarez,3
1999_28,Juarez,1
1999_28,Tijuana,2
1993_30,Juarez,1
1993_30,Sinaloa,1
1994_30,Golfo,1
1995_30,Golfo,1
1995_30,Juarez,1
1996_30,Golfo,1
1996_30,Juarez,1
1997_30,Golfo,2
1997_30,Juarez,1
1998_30,Golfo,1
1998_30,Juarez,1
1999_30,Juarez,3
1999_30,Sinaloa,1
1994_31,Golfo,1
1999_31,Tijuana,1
1997_32,Tijuana,1
