A,Bridge,B,Weight
1,2001,Sinaloa,1
1,2002,Juarez,1
1,2003,Tijuana,1
1,2004,Juarez,1
1,2004,Zetas,2
1,2005,Familia,1
1,2005,Juarez,1
1,2005,Sinaloa,1
1,2006,Golfo,1
1,2006,Juarez,1
1,2006,Tijuana,1
1,2006,Zetas,2
1,2007,Familia,1
1,2007,Golfo,1
1,2007,Sinaloa,2
1,2007,Zetas,5
1,2008,Beltran_Leyva,1
1,2008,Familia,1
1,2008,Golfo,2
1,2008,Juarez,1
1,2008,Sinaloa,1
1,2008,Zetas,2
1,2009,Beltran_Leyva,1
1,2009,Familia,1
1,2009,Golfo,2
1,2009,Sinaloa,1
1,2009,Zetas,5
1,2010,Beltran_Leyva,1
1,2010,Familia,2
1,2010,Juarez,1
1,2010,Sinaloa,2
1,2010,Zetas,5
2,2000,Sinaloa,2
2,2000,Tijuana,4
2,2001,Golfo,2
2,2001,Sinaloa,1
2,2001,Tijuana,3
2,2002,Sinaloa,2
2,2002,Tijuana,2
2,2003,Juarez,1
2,2003,Tijuana,2
2,2004,Tijuana,5
2,2004,Otros,1
2,2005,Familia,1
2,2005,Golfo,1
2,2005,Juarez,1
2,2005,Sinaloa,2
2,2005,Tijuana,5
2,2006,Beltran_Leyva,1
2,2006,Sinaloa,1
2,2006,Tijuana,5
2,2006,Otros,4
2,2007,Juarez,1
2,2007,Sinaloa,3
2,2007,Sinaloa_Family,1
2,2007,Tijuana,5
2,2007,Zetas,1
2,2007,Otros,5
2,2008,Sinaloa,2
2,2008,Sinaloa_Family,1
2,2008,Tijuana,5
2,2008,Zetas,1
2,2008,Otros,5
2,2009,Familia,1
2,2009,Sinaloa_Family,1
2,2009,Tijuana,5
2,2009,Zetas,2
2,2009,Otros,5
2,2010,Beltran_Leyva,1
2,2010,Familia,2
2,2010,Sinaloa,3
2,2010,Sinaloa_Family,1
2,2010,Tijuana,5
2,2010,Zetas,2
2,2010,Otros,5
3,2001,Tijuana,1
3,2005,Juarez,1
3,2005,Tijuana,1
3,2006,Sinaloa,1
3,2006,Tijuana,2
3,2007,Tijuana,2
3,2008,Familia,1
3,2008,Golfo,1
3,2008,Tijuana,1
3,2008,Otros,1
3,2009,Beltran_Leyva_Family,1
3,2009,Golfo,1
3,2009,Sinaloa,1
3,2009,Tijuana,2
3,2009,Otros,2
3,2010,Sinaloa,1
3,2010,Tijuana,3
3,2010,Otros,2
4,2000,Golfo,1
4,2001,Juarez,1
4,2002,Golfo,1
4,2003,Golfo,1
4,2003,Zetas,1
4,2004,Beltran_Leyva,1
4,2004,Sinaloa,1
4,2004,Zetas,1
4,2005,Sinaloa,1
4,2006,Golfo,1
4,2006,Sinaloa,1
4,2006,Zetas,2
4,2007,Golfo,1
4,2007,Zetas,3
4,2008,Golfo,2
4,2008,Zetas,3
4,2009,Beltran_Leyva,1
4,2009,Golfo,3
4,2009,Zetas,3
4,2010,Beltran_Leyva,1
4,2010,Familia,1
4,2010,Golfo,1
4,2010,Zetas,2
5,2000,Golfo,3
5,2001,Sinaloa,1
5,2002,Juarez,3
5,2003,Golfo,3
5,2003,Juarez,5
5,2003,Tijuana,1
5,2004,Golfo,4
5,2004,Juarez,1
5,2004,Zetas,4
5,2005,Beltran_Leyva,2
5,2005,Familia,1
5,2005,Golfo,2
5,2005,Juarez,5
5,2005,Sinaloa,3
5,2005,Tijuana,2
5,2005,Zetas,3
5,2006,Golfo,3
5,2006,Juarez,2
5,2006,Sinaloa,3
5,2006,Zetas,8
5,2007,Golfo,10
5,2007,Juarez,1
5,2007,Sinaloa,1
5,2007,Zetas,14
5,2008,Beltran_Leyva,4
5,2008,Beltran_Leyva_Family,1
5,2008,Golfo,14
5,2008,Juarez,2
5,2008,Sinaloa,10
5,2008,Sinaloa_Family,1
5,2008,Tijuana,1
5,2008,Zetas,12
5,2009,Beltran_Leyva,3
5,2009,Beltran_Leyva_Family,6
5,2009,Familia,1
5,2009,Golfo,14
5,2009,Juarez,4
5,2009,Sinaloa,4
5,2009,Sinaloa_Family,1
5,2009,Tijuana,3
5,2009,Zetas,15
5,2009,Otros,1
5,2010,Beltran_Leyva_Family,6
5,2010,Familia,2
5,2010,Golfo,17
5,2010,Juarez,8
5,2010,Sinaloa,2
5,2010,Tijuana,6
5,2010,Zetas,17
6,2000,Golfo,2
6,2001,Juarez,1
6,2001,Sinaloa,1
6,2002,Golfo,1
6,2003,Beltran_Leyva,1
6,2003,Juarez,1
6,2003,Sinaloa,1
6,2004,Beltran_Leyva,1
6,2004,Familia,1
6,2004,Golfo,1
6,2004,Sinaloa,1
6,2005,Beltran_Leyva,1
6,2005,Golfo,1
6,2005,Juarez,1
6,2005,Sinaloa,1
6,2006,Sinaloa,1
6,2007,Beltran_Leyva,1
6,2007,Golfo,1
6,2007,Juarez,1
6,2007,Sinaloa,2
6,2007,Sinaloa_Family,1
6,2007,Otros,2
6,2008,Beltran_Leyva,1
6,2008,Golfo,4
6,2008,Sinaloa,2
6,2008,Zetas,1
6,2009,Familia,3
6,2009,Golfo,2
6,2009,Sinaloa,2
6,2009,Zetas,3
6,2009,Otros,2
6,2010,Beltran_Leyva,1
6,2010,Beltran_Leyva_Family,1
6,2010,Familia,4
6,2010,Juarez,1
6,2010,Sinaloa,4
6,2010,Sinaloa_Family,1
6,2010,Tijuana,1
6,2010,Zetas,1
6,2010,Otros,4
7,2000,Juarez,1
7,2002,Golfo,1
7,2002,Tijuana,1
7,2003,Sinaloa,1
7,2003,Tijuana,1
7,2004,Golfo,2
7,2004,Sinaloa,1
7,2005,Beltran_Leyva,1
7,2005,Golfo,4
7,2005,Juarez,3
7,2005,Sinaloa,1
7,2005,Tijuana,1
7,2005,Zetas,6
7,2006,Golfo,2
7,2006,Juarez,4
7,2006,Sinaloa,2
7,2006,Tijuana,1
7,2006,Zetas,2
7,2007,Beltran_Leyva,1
7,2007,Golfo,4
7,2007,Juarez,2
7,2007,Sinaloa,3
7,2007,Tijuana,1
7,2007,Zetas,6
7,2008,Beltran_Leyva,1
7,2008,Golfo,15
7,2008,Sinaloa_Family,1
7,2008,Zetas,17
7,2008,Otros,1
7,2009,Beltran_Leyva,2
7,2009,Golfo,10
7,2009,Juarez,1
7,2009,Sinaloa,1
7,2009,Sinaloa_Family,1
7,2009,Zetas,21
7,2010,Beltran_Leyva,4
7,2010,Golfo,11
7,2010,Sinaloa_Family,1
7,2010,Zetas,21
7,2010,Otros,1
8,2000,Sinaloa,4
8,2001,Juarez,1
8,2001,Sinaloa,2
8,2001,Sinaloa_Family,2
8,2002,Juarez,4
8,2002,Tijuana,1
8,2003,Golfo,3
8,2003,Juarez,2
8,2003,Tijuana,1
8,2004,Beltran_Leyva,2
8,2004,Juarez,6
8,2004,Sinaloa,4
8,2004,Tijuana,1
8,2004,Zetas,1
8,2005,Beltran_Leyva,4
8,2005,Familia,3
8,2005,Golfo,6
8,2005,Juarez,6
8,2005,Sinaloa,5
8,2005,Zetas,5
8,2006,Beltran_Leyva,4
8,2006,Beltran_Leyva_Family,1
8,2006,Familia,2
8,2006,Golfo,3
8,2006,Juarez,5
8,2006,Sinaloa,9
8,2006,Sinaloa_Family,1
8,2006,Tijuana,6
8,2006,Zetas,2
8,2007,Beltran_Leyva,2
8,2007,Golfo,8
8,2007,Juarez,11
8,2007,Sinaloa,9
8,2007,Tijuana,4
8,2007,Zetas,8
8,2008,Beltran_Leyva,3
8,2008,Beltran_Leyva_Family,2
8,2008,Familia,4
8,2008,Golfo,3
8,2008,Juarez,27
8,2008,Sinaloa,15
8,2008,Sinaloa_Family,3
8,2008,Tijuana,5
8,2008,Zetas,6
8,2008,Otros,3
8,2009,Beltran_Leyva,2
8,2009,Beltran_Leyva_Family,1
8,2009,Familia,6
8,2009,Golfo,10
8,2009,Juarez,28
8,2009,Sinaloa,32
8,2009,Sinaloa_Family,3
8,2009,Tijuana,5
8,2009,Zetas,8
8,2009,Otros,2
8,2010,Beltran_Leyva,5
8,2010,Familia,7
8,2010,Golfo,7
8,2010,Juarez,28
8,2010,Sinaloa,34
8,2010,Sinaloa_Family,3
8,2010,Tijuana,2
8,2010,Zetas,8
8,2010,Otros,3
9,2000,Tijuana,1
9,2001,Sinaloa,1
9,2001,Tijuana,2
9,2001,Zetas,1
9,2004,Tijuana,1
9,2005,Beltran_Leyva,1
9,2005,Golfo,3
9,2005,Juarez,1
9,2005,Sinaloa,2
9,2005,Zetas,2
9,2006,Beltran_Leyva,2
9,2006,Familia,1
9,2006,Golfo,3
9,2006,Juarez,1
9,2006,Sinaloa,1
9,2006,Zetas,1
9,2007,Beltran_Leyva,1
9,2007,Familia,1
9,2007,Golfo,3
9,2007,Juarez,1
9,2007,Sinaloa,5
9,2007,Zetas,6
9,2008,Beltran_Leyva,8
9,2008,Familia,5
9,2008,Golfo,4
9,2008,Sinaloa,10
9,2008,Sinaloa_Family,4
9,2008,Zetas,3
9,2009,Beltran_Leyva,8
9,2009,Beltran_Leyva_Family,1
9,2009,Familia,3
9,2009,Golfo,2
9,2009,Sinaloa,7
9,2009,Sinaloa_Family,2
9,2009,Tijuana,2
9,2009,Zetas,4
9,2010,Beltran_Leyva,10
9,2010,Beltran_Leyva_Family,2
9,2010,Familia,6
9,2010,Golfo,5
9,2010,Juarez,2
9,2010,Sinaloa,4
9,2010,Sinaloa_Family,1
9,2010,Tijuana,2
9,2010,Zetas,1
9,2010,Otros,5
10,2001,Sinaloa,3
10,2002,Golfo,1
10,2002,Sinaloa,1
10,2003,Golfo,1
10,2003,Juarez,3
10,2004,Golfo,2
10,2004,Sinaloa,1
10,2004,Tijuana,1
10,2004,Zetas,3
10,2005,Beltran_Leyva,2
10,2005,Familia,1
10,2005,Golfo,1
10,2005,Sinaloa,3
10,2005,Zetas,2
10,2006,Beltran_Leyva,1
10,2006,Familia,1
10,2006,Golfo,2
10,2006,Juarez,1
10,2006,Sinaloa,2
10,2006,Zetas,2
10,2007,Golfo,1
10,2007,Juarez,5
10,2007,Sinaloa,6
10,2007,Tijuana,1
10,2007,Zetas,2
10,2007,Otros,1
10,2008,Beltran_Leyva,5
10,2008,Beltran_Leyva_Family,4
10,2008,Familia,4
10,2008,Golfo,6
10,2008,Juarez,2
10,2008,Sinaloa,9
10,2008,Sinaloa_Family,2
10,2008,Zetas,8
10,2009,Beltran_Leyva,1
10,2009,Beltran_Leyva_Family,1
10,2009,Familia,2
10,2009,Golfo,4
10,2009,Juarez,1
10,2009,Sinaloa,19
10,2009,Sinaloa_Family,3
10,2009,Tijuana,3
10,2009,Zetas,9
10,2009,Otros,1
10,2010,Beltran_Leyva,1
10,2010,Beltran_Leyva_Family,3
10,2010,Familia,2
10,2010,Golfo,5
10,2010,Juarez,4
10,2010,Sinaloa,20
10,2010,Sinaloa_Family,4
10,2010,Tijuana,1
10,2010,Zetas,11
11,2000,Sinaloa,2
11,2000,Tijuana,1
11,2001,Juarez,1
11,2002,Juarez,1
11,2003,Zetas,3
11,2004,Golfo,2
11,2004,Sinaloa,2
11,2005,Beltran_Leyva,2
11,2005,Familia,1
11,2005,Golfo,3
11,2005,Juarez,1
11,2005,Sinaloa,1
11,2005,Zetas,2
11,2006,Beltran_Leyva,1
11,2006,Familia,2
11,2006,Golfo,4
11,2006,Juarez,3
11,2006,Sinaloa,3
11,2006,Zetas,2
11,2007,Beltran_Leyva,2
11,2007,Familia,1
11,2007,Golfo,1
11,2007,Juarez,2
11,2007,Sinaloa,8
11,2007,Sinaloa_Family,1
11,2007,Zetas,4
11,2008,Familia,18
11,2008,Golfo,27
11,2008,Sinaloa,3
11,2008,Sinaloa_Family,1
11,2008,Zetas,15
11,2008,Otros,1
11,2009,Beltran_Leyva,1
11,2009,Familia,34
11,2009,Golfo,22
11,2009,Sinaloa,2
11,2009,Zetas,30
11,2009,Otros,1
11,2010,Familia,36
11,2010,Golfo,17
11,2010,Juarez,1
11,2010,Sinaloa,2
11,2010,Sinaloa_Family,2
11,2010,Tijuana,1
11,2010,Zetas,23
12,2000,Juarez,1
12,2000,Sinaloa,1
12,2001,Beltran_Leyva,2
12,2001,Sinaloa_Family,1
12,2002,Golfo,1
12,2002,Juarez,1
12,2002,Sinaloa,1
12,2002,Sinaloa_Family,1
12,2003,Juarez,1
12,2003,Sinaloa_Family,1
12,2003,Tijuana,1
12,2004,Golfo,1
12,2004,Juarez,1
12,2005,Beltran_Leyva,5
12,2005,Golfo,1
12,2005,Sinaloa,1
12,2005,Sinaloa_Family,6
12,2005,Zetas,3
12,2006,Beltran_Leyva,4
12,2006,Golfo,2
12,2006,Sinaloa,4
12,2006,Zetas,6
12,2007,Beltran_Leyva,1
12,2007,Beltran_Leyva_Family,1
12,2007,Familia,3
12,2007,Golfo,6
12,2007,Juarez,1
12,2007,Sinaloa,4
12,2007,Sinaloa_Family,2
12,2007,Tijuana,1
12,2007,Zetas,8
12,2007,Otros,1
12,2008,Beltran_Leyva,10
12,2008,Beltran_Leyva_Family,5
12,2008,Familia,4
12,2008,Golfo,2
12,2008,Juarez,3
12,2008,Sinaloa,10
12,2008,Sinaloa_Family,8
12,2008,Zetas,11
12,2008,Otros,3
12,2009,Beltran_Leyva,20
12,2009,Beltran_Leyva_Family,8
12,2009,Familia,14
12,2009,Golfo,3
12,2009,Sinaloa,3
12,2009,Sinaloa_Family,10
12,2009,Zetas,14
12,2009,Otros,3
12,2010,Beltran_Leyva,20
12,2010,Beltran_Leyva_Family,7
12,2010,Familia,13
12,2010,Golfo,4
12,2010,Juarez,3
12,2010,Sinaloa,7
12,2010,Sinaloa_Family,9
12,2010,Zetas,13
13,2001,Beltran_Leyva,1
13,2001,Sinaloa,1
13,2006,Golfo,1
13,2006,Zetas,2
13,2007,Golfo,3
13,2007,Zetas,5
13,2008,Beltran_Leyva,2
13,2008,Golfo,5
13,2008,Zetas,8
13,2009,Beltran_Leyva,1
13,2009,Golfo,6
13,2009,Sinaloa,1
13,2009,Zetas,12
13,2010,Beltran_Leyva,1
13,2010,Familia,1
13,2010,Golfo,2
13,2010,Sinaloa,1
13,2010,Zetas,13
14,2000,Sinaloa,2
14,2001,Sinaloa,3
14,2002,Sinaloa,2
14,2002,Tijuana,1
14,2003,Juarez,2
14,2003,Sinaloa,1
14,2003,Tijuana,2
14,2003,Zetas,1
14,2004,Beltran_Leyva,1
14,2004,Golfo,3
14,2004,Sinaloa,2
14,2004,Zetas,1
14,2005,Beltran_Leyva,3
14,2005,Familia,2
14,2005,Golfo,5
14,2005,Sinaloa,6
14,2005,Tijuana,1
14,2005,Zetas,6
14,2005,Otros,1
14,2006,Golfo,6
14,2006,Sinaloa,5
14,2006,Tijuana,1
14,2006,Zetas,7
14,2007,Beltran_Leyva,3
14,2007,Golfo,5
14,2007,Juarez,1
14,2007,Sinaloa,6
14,2007,Tijuana,2
14,2007,Zetas,4
14,2007,Otros,1
14,2008,Beltran_Leyva,5
14,2008,Beltran_Leyva_Family,1
14,2008,Golfo,5
14,2008,Juarez,1
14,2008,Sinaloa,11
14,2008,Tijuana,1
14,2008,Zetas,7
14,2009,Beltran_Leyva,2
14,2009,Beltran_Leyva_Family,1
14,2009,Familia,2
14,2009,Golfo,7
14,2009,Juarez,2
14,2009,Sinaloa,11
14,2009,Sinaloa_Family,1
14,2009,Tijuana,1
14,2009,Zetas,14
