A,B,Weight
1,2008,1
1,2009,1
1,2010,1
2,2006,1
2,2010,1
4,2004,1
4,2009,1
4,2010,1
5,2005,1
5,2008,1
5,2009,1
6,2003,1
6,2004,1
6,2005,1
6,2007,1
6,2008,1
6,2010,1
7,2005,1
7,2007,1
7,2008,1
7,2009,1
7,2010,1
8,2004,1
8,2005,1
8,2006,1
8,2007,1
8,2008,1
8,2009,1
8,2010,1
9,2005,1
9,2006,1
9,2007,1
9,2008,1
9,2009,1
9,2010,1
10,2005,1
10,2006,1
10,2008,1
10,2009,1
10,2010,1
11,2005,1
11,2006,1
11,2007,1
11,2009,1
12,2001,1
12,2005,1
12,2006,1
12,2007,1
12,2008,1
12,2009,1
12,2010,1
13,2001,1
13,2008,1
13,2009,1
13,2010,1
14,2004,1
14,2005,1
14,2007,1
14,2008,1
14,2009,1
14,2010,1
15,2001,1
15,2005,1
15,2006,1
15,2007,1
15,2008,1
15,2009,1
15,2010,1
16,2001,1
16,2005,1
16,2006,1
16,2007,1
16,2008,1
16,2009,1
16,2010,1
17,2003,1
17,2007,1
17,2008,1
17,2009,1
17,2010,1
18,2008,1
18,2009,1
18,2010,1
19,2001,1
19,2004,1
19,2005,1
19,2006,1
19,2007,1
19,2008,1
19,2009,1
19,2010,1
20,2007,1
20,2008,1
20,2010,1
21,2005,1
21,2006,1
21,2007,1
21,2008,1
21,2009,1
21,2010,1
22,2007,1
22,2008,1
22,2009,1
22,2010,1
23,2007,1
23,2009,1
23,2010,1
24,2001,1
24,2005,1
25,2001,1
25,2003,1
25,2004,1
25,2005,1
25,2006,1
25,2007,1
25,2008,1
25,2009,1
25,2010,1
26,2005,1
26,2006,1
26,2007,1
26,2008,1
26,2009,1
26,2010,1
27,2005,1
27,2009,1
27,2010,1
28,2001,1
28,2004,1
28,2005,1
28,2006,1
28,2007,1
28,2008,1
28,2009,1
28,2010,1
30,2006,1
30,2008,1
30,2009,1
30,2010,1
31,2005,1
31,2006,1
31,2007,1
31,2008,1
31,2009,1
31,2010,1
32,2005,1
32,2008,1
32,2009,1
32,2010,1
