A,B,Weight
3,2009,1
5,2008,1
5,2009,1
5,2010,1
6,2010,1
8,2006,1
8,2008,1
8,2009,1
9,2009,1
9,2010,1
10,2008,1
10,2009,1
10,2010,1
12,2007,1
12,2008,1
12,2009,1
12,2010,1
14,2008,1
14,2009,1
14,2010,1
15,2007,1
15,2008,1
15,2009,1
15,2010,1
16,2009,1
16,2010,1
17,2008,1
17,2009,1
17,2010,1
18,2008,1
18,2009,1
18,2010,1
19,2006,1
19,2007,1
19,2008,1
19,2009,1
19,2010,1
20,2010,1
21,2010,1
25,2006,1
25,2008,1
25,2009,1
25,2010,1
26,2007,1
26,2009,1
26,2010,1
28,2008,1
28,2009,1
28,2010,1
30,2008,1
30,2009,1
30,2010,1
32,2009,1
