A,B,Weight
1,2005,1
1,2007,1
1,2008,1
1,2009,1
1,2010,1
2,2005,1
2,2009,1
2,2010,1
3,2008,1
4,2010,1
5,2005,1
5,2009,1
5,2010,1
6,2004,1
6,2009,1
6,2010,1
8,2005,1
8,2006,1
8,2008,1
8,2009,1
8,2010,1
9,2006,1
9,2007,1
9,2008,1
9,2009,1
9,2010,1
10,2005,1
10,2006,1
10,2008,1
10,2009,1
10,2010,1
11,2005,1
11,2006,1
11,2007,1
11,2008,1
11,2009,1
11,2010,1
12,2007,1
12,2008,1
12,2009,1
12,2010,1
13,2010,1
14,2005,1
14,2009,1
14,2010,1
15,2008,1
15,2009,1
15,2010,1
16,2004,1
16,2005,1
16,2006,1
16,2007,1
16,2008,1
16,2009,1
16,2010,1
17,2005,1
17,2009,1
17,2010,1
18,2005,1
18,2008,1
18,2009,1
19,2005,1
19,2007,1
19,2008,1
19,2010,1
20,2009,1
20,2010,1
21,2005,1
21,2008,1
21,2009,1
21,2010,1
22,2009,1
22,2010,1
23,2008,1
23,2009,1
23,2010,1
24,2005,1
24,2007,1
24,2009,1
24,2010,1
25,2006,1
25,2007,1
25,2010,1
26,2009,1
26,2010,1
27,2007,1
27,2008,1
28,2004,1
28,2005,1
28,2006,1
28,2007,1
28,2008,1
28,2009,1
28,2010,1
30,2005,1
30,2008,1
30,2009,1
30,2010,1
31,2007,1
32,2005,1
32,2006,1
32,2008,1
32,2010,1
