A,B,Weight
1,2002,1
1,2004,1
1,2005,1
1,2006,1
1,2008,1
1,2010,1
2,2003,1
2,2005,1
2,2007,1
3,2005,1
4,2001,1
5,2002,1
5,2003,1
5,2004,1
5,2005,1
5,2006,1
5,2007,1
5,2008,1
5,2009,1
5,2010,1
6,2001,1
6,2003,1
6,2005,1
6,2007,1
6,2010,1
7,2000,1
7,2005,1
7,2006,1
7,2007,1
7,2009,1
8,2001,1
8,2002,1
8,2003,1
8,2004,1
8,2005,1
8,2006,1
8,2007,1
8,2008,1
8,2009,1
8,2010,1
9,2005,1
9,2006,1
9,2007,1
9,2010,1
10,2003,1
10,2006,1
10,2007,1
10,2008,1
10,2009,1
10,2010,1
11,2001,1
11,2002,1
11,2005,1
11,2006,1
11,2007,1
11,2010,1
12,2000,1
12,2002,1
12,2003,1
12,2004,1
12,2007,1
12,2008,1
12,2010,1
14,2003,1
14,2007,1
14,2008,1
14,2009,1
14,2010,1
15,2001,1
15,2006,1
15,2007,1
15,2009,1
15,2010,1
16,2005,1
16,2006,1
16,2007,1
16,2008,1
16,2009,1
16,2010,1
17,2004,1
17,2009,1
17,2010,1
18,2006,1
19,2001,1
19,2004,1
19,2005,1
19,2006,1
19,2008,1
19,2009,1
19,2010,1
21,2001,1
21,2008,1
21,2009,1
21,2010,1
23,2005,1
24,2008,1
24,2009,1
25,2003,1
25,2004,1
25,2005,1
25,2007,1
25,2008,1
25,2009,1
25,2010,1
26,2000,1
26,2001,1
26,2004,1
26,2005,1
26,2006,1
26,2007,1
26,2008,1
26,2009,1
26,2010,1
27,2005,1
28,2000,1
28,2002,1
28,2003,1
28,2004,1
28,2005,1
28,2006,1
28,2007,1
28,2009,1
28,2010,1
30,2000,1
30,2001,1
30,2002,1
30,2004,1
30,2005,1
30,2006,1
30,2007,1
30,2008,1
30,2009,1
30,2010,1
31,2000,1
31,2001,1
31,2002,1
31,2004,1
31,2007,1
31,2009,1
31,2010,1
32,2005,1
32,2006,1
32,2007,1
32,2009,1
32,2010,1
