A,B,Weight
2,2004,1
2,2006,1
2,2007,1
2,2008,1
2,2009,1
2,2010,1
3,2008,1
3,2009,1
3,2010,1
5,2009,1
6,2007,1
6,2009,1
6,2010,1
7,2008,1
7,2010,1
8,2008,1
8,2009,1
8,2010,1
9,2010,1
10,2007,1
10,2009,1
11,2008,1
11,2009,1
12,2007,1
12,2008,1
12,2009,1
14,2005,1
14,2007,1
14,2009,1
14,2010,1
15,2004,1
15,2007,1
15,2008,1
15,2009,1
15,2010,1
16,2006,1
16,2008,1
16,2009,1
16,2010,1
17,2008,1
17,2009,1
17,2010,1
18,2009,1
19,2006,1
19,2009,1
19,2010,1
20,2007,1
21,2007,1
21,2008,1
21,2009,1
23,2007,1
23,2009,1
23,2010,1
25,2004,1
25,2005,1
25,2006,1
25,2007,1
25,2008,1
25,2009,1
25,2010,1
27,2007,1
27,2009,1
27,2010,1
28,2006,1
28,2007,1
28,2008,1
28,2009,1
28,2010,1
30,2003,1
30,2004,1
30,2006,1
30,2007,1
30,2008,1
30,2009,1
30,2010,1
31,2006,1
31,2009,1
31,2010,1
