A,B,Weight
2,2007,1
2,2008,1
2,2009,1
2,2010,1
5,2008,1
5,2009,1
6,2007,1
6,2010,1
7,2008,1
7,2009,1
7,2010,1
8,2001,1
8,2006,1
8,2008,1
8,2009,1
8,2010,1
9,2008,1
9,2009,1
9,2010,1
10,2008,1
10,2009,1
10,2010,1
11,2007,1
11,2008,1
11,2010,1
12,2001,1
12,2002,1
12,2003,1
12,2005,1
12,2007,1
12,2008,1
12,2009,1
12,2010,1
14,2009,1
14,2010,1
15,2008,1
15,2009,1
15,2010,1
16,2008,1
16,2009,1
16,2010,1
17,2009,1
17,2010,1
18,2010,1
19,2007,1
19,2008,1
19,2010,1
21,2007,1
24,2008,1
24,2010,1
25,2008,1
25,2009,1
25,2010,1
26,2009,1
26,2010,1
28,2008,1
28,2009,1
28,2010,1
30,2001,1
30,2007,1
31,2007,1
31,2008,1
31,2009,1
32,2008,1
32,2009,1
32,2010,1
