A,B,Weight
1,2003,1
1,2006,1
2,2000,1
2,2001,1
2,2002,1
2,2003,1
2,2004,1
2,2005,1
2,2006,1
2,2007,1
2,2008,1
2,2009,1
2,2010,1
3,2001,1
3,2005,1
3,2006,1
3,2007,1
3,2008,1
3,2009,1
3,2010,1
5,2003,1
5,2005,1
5,2008,1
5,2009,1
5,2010,1
6,2010,1
7,2002,1
7,2003,1
7,2005,1
7,2006,1
7,2007,1
8,2002,1
8,2003,1
8,2004,1
8,2006,1
8,2007,1
8,2008,1
8,2009,1
8,2010,1
9,2000,1
9,2001,1
9,2004,1
9,2009,1
9,2010,1
10,2004,1
10,2007,1
10,2009,1
10,2010,1
11,2000,1
11,2010,1
12,2003,1
12,2007,1
14,2002,1
14,2003,1
14,2005,1
14,2006,1
14,2007,1
14,2008,1
14,2009,1
14,2010,1
15,2000,1
15,2001,1
15,2002,1
15,2003,1
15,2004,1
15,2005,1
15,2006,1
15,2007,1
15,2008,1
15,2009,1
15,2010,1
16,2001,1
16,2003,1
16,2006,1
16,2007,1
16,2008,1
16,2009,1
16,2010,1
17,2007,1
19,2001,1
19,2002,1
19,2003,1
19,2004,1
19,2007,1
19,2008,1
19,2009,1
19,2010,1
21,2002,1
21,2003,1
21,2004,1
21,2006,1
21,2007,1
21,2008,1
21,2010,1
22,2001,1
22,2002,1
24,2001,1
24,2006,1
25,2001,1
25,2002,1
25,2003,1
25,2004,1
25,2005,1
25,2006,1
25,2007,1
25,2008,1
25,2009,1
25,2010,1
26,2001,1
26,2002,1
26,2003,1
26,2004,1
26,2006,1
26,2008,1
26,2009,1
26,2010,1
28,2000,1
28,2002,1
28,2004,1
28,2005,1
28,2006,1
28,2007,1
28,2008,1
28,2009,1
30,2005,1
30,2009,1
30,2010,1
32,2006,1
