A,B,Weight
2008,Beltran_Leyva,1
2009,Beltran_Leyva,1
2010,Beltran_Leyva,1
2006,Beltran_Leyva,1
2010,Beltran_Leyva,1
2004,Beltran_Leyva,1
2009,Beltran_Leyva,1
2010,Beltran_Leyva,1
2005,Beltran_Leyva,2
2008,Beltran_Leyva,4
2009,Beltran_Leyva,3
2003,Beltran_Leyva,1
2004,Beltran_Leyva,1
2005,Beltran_Leyva,1
2007,Beltran_Leyva,1
2008,Beltran_Leyva,1
2010,Beltran_Leyva,1
2005,Beltran_Leyva,1
2007,Beltran_Leyva,1
2008,Beltran_Leyva,1
2009,Beltran_Leyva,2
2010,Beltran_Leyva,4
2004,Beltran_Leyva,2
2005,Beltran_Leyva,4
2006,Beltran_Leyva,4
2007,Beltran_Leyva,2
2008,Beltran_Leyva,3
2009,Beltran_Leyva,2
2010,Beltran_Leyva,5
2005,Beltran_Leyva,1
2006,Beltran_Leyva,2
2007,Beltran_Leyva,1
2008,Beltran_Leyva,8
2009,Beltran_Leyva,8
2010,Beltran_Leyva,10
2005,Beltran_Leyva,2
2006,Beltran_Leyva,1
2008,Beltran_Leyva,5
2009,Beltran_Leyva,1
2010,Beltran_Leyva,1
2005,Beltran_Leyva,2
2006,Beltran_Leyva,1
2007,Beltran_Leyva,2
2009,Beltran_Leyva,1
2001,Beltran_Leyva,2
2005,Beltran_Leyva,5
2006,Beltran_Leyva,4
2007,Beltran_Leyva,1
2008,Beltran_Leyva,10
2009,Beltran_Leyva,20
2010,Beltran_Leyva,20
2001,Beltran_Leyva,1
2008,Beltran_Leyva,2
2009,Beltran_Leyva,1
2010,Beltran_Leyva,1
2004,Beltran_Leyva,1
2005,Beltran_Leyva,3
2007,Beltran_Leyva,3
2008,Beltran_Leyva,5
2009,Beltran_Leyva,2
2010,Beltran_Leyva,2
2001,Beltran_Leyva,1
2005,Beltran_Leyva,4
2006,Beltran_Leyva,5
2007,Beltran_Leyva,2
2008,Beltran_Leyva,15
2009,Beltran_Leyva,32
2010,Beltran_Leyva,23
2001,Beltran_Leyva,1
2005,Beltran_Leyva,1
2006,Beltran_Leyva,4
2007,Beltran_Leyva,5
2008,Beltran_Leyva,4
2009,Beltran_Leyva,1
2010,Beltran_Leyva,4
2003,Beltran_Leyva,1
2007,Beltran_Leyva,3
2008,Beltran_Leyva,10
2009,Beltran_Leyva,21
2010,Beltran_Leyva,21
2008,Beltran_Leyva,1
2009,Beltran_Leyva,1
2010,Beltran_Leyva,1
2001,Beltran_Leyva,1
2004,Beltran_Leyva,3
2005,Beltran_Leyva,2
2006,Beltran_Leyva,7
2007,Beltran_Leyva,8
2008,Beltran_Leyva,5
2009,Beltran_Leyva,9
2010,Beltran_Leyva,7
2007,Beltran_Leyva,1
2008,Beltran_Leyva,1
2010,Beltran_Leyva,2
2005,Beltran_Leyva,2
2006,Beltran_Leyva,1
2007,Beltran_Leyva,1
2008,Beltran_Leyva,3
2009,Beltran_Leyva,6
2010,Beltran_Leyva,11
2007,Beltran_Leyva,2
2008,Beltran_Leyva,2
2009,Beltran_Leyva,2
2010,Beltran_Leyva,2
2007,Beltran_Leyva,1
2009,Beltran_Leyva,3
2010,Beltran_Leyva,2
2001,Beltran_Leyva,1
2005,Beltran_Leyva,1
2001,Beltran_Leyva,2
2003,Beltran_Leyva,3
2004,Beltran_Leyva,1
2005,Beltran_Leyva,3
2006,Beltran_Leyva,3
2007,Beltran_Leyva,5
2008,Beltran_Leyva,11
2009,Beltran_Leyva,12
2010,Beltran_Leyva,8
2005,Beltran_Leyva,5
2006,Beltran_Leyva,5
2007,Beltran_Leyva,4
2008,Beltran_Leyva,7
2009,Beltran_Leyva,11
2010,Beltran_Leyva,10
2005,Beltran_Leyva,1
2009,Beltran_Leyva,2
2010,Beltran_Leyva,2
2001,Beltran_Leyva,1
2004,Beltran_Leyva,2
2005,Beltran_Leyva,4
2006,Beltran_Leyva,3
2007,Beltran_Leyva,3
2008,Beltran_Leyva,2
2009,Beltran_Leyva,3
2010,Beltran_Leyva,4
2006,Beltran_Leyva,1
2008,Beltran_Leyva,3
2009,Beltran_Leyva,7
2010,Beltran_Leyva,9
2005,Beltran_Leyva,1
2006,Beltran_Leyva,1
2007,Beltran_Leyva,2
2008,Beltran_Leyva,2
2009,Beltran_Leyva,3
2010,Beltran_Leyva,2
2005,Beltran_Leyva,4
2008,Beltran_Leyva,2
2009,Beltran_Leyva,2
2010,Beltran_Leyva,2
