A,B,Weight
2009,Beltran_Leyva_Family,1
2008,Beltran_Leyva_Family,1
2009,Beltran_Leyva_Family,6
2010,Beltran_Leyva_Family,6
2010,Beltran_Leyva_Family,1
2006,Beltran_Leyva_Family,1
2008,Beltran_Leyva_Family,2
2009,Beltran_Leyva_Family,1
2009,Beltran_Leyva_Family,1
2010,Beltran_Leyva_Family,2
2008,Beltran_Leyva_Family,4
2009,Beltran_Leyva_Family,1
2010,Beltran_Leyva_Family,3
2007,Beltran_Leyva_Family,1
2008,Beltran_Leyva_Family,5
2009,Beltran_Leyva_Family,8
2010,Beltran_Leyva_Family,7
2008,Beltran_Leyva_Family,1
2009,Beltran_Leyva_Family,1
2010,Beltran_Leyva_Family,2
2007,Beltran_Leyva_Family,1
2008,Beltran_Leyva_Family,1
2009,Beltran_Leyva_Family,4
2010,Beltran_Leyva_Family,6
2009,Beltran_Leyva_Family,3
2010,Beltran_Leyva_Family,2
2008,Beltran_Leyva_Family,3
2009,Beltran_Leyva_Family,13
2010,Beltran_Leyva_Family,14
2008,Beltran_Leyva_Family,1
2009,Beltran_Leyva_Family,1
2010,Beltran_Leyva_Family,2
2006,Beltran_Leyva_Family,5
2007,Beltran_Leyva_Family,6
2008,Beltran_Leyva_Family,2
2009,Beltran_Leyva_Family,7
2010,Beltran_Leyva_Family,3
2010,Beltran_Leyva_Family,1
2010,Beltran_Leyva_Family,1
2006,Beltran_Leyva_Family,1
2008,Beltran_Leyva_Family,3
2009,Beltran_Leyva_Family,2
2010,Beltran_Leyva_Family,2
2007,Beltran_Leyva_Family,1
2009,Beltran_Leyva_Family,1
2010,Beltran_Leyva_Family,1
2008,Beltran_Leyva_Family,2
2009,Beltran_Leyva_Family,2
2010,Beltran_Leyva_Family,2
2008,Beltran_Leyva_Family,1
2009,Beltran_Leyva_Family,2
2010,Beltran_Leyva_Family,2
2009,Beltran_Leyva_Family,1
