A,B,Weight
2005,Familia,1
2007,Familia,1
2008,Familia,1
2009,Familia,1
2010,Familia,2
2005,Familia,1
2009,Familia,1
2010,Familia,2
2008,Familia,1
2010,Familia,1
2005,Familia,1
2009,Familia,1
2010,Familia,2
2004,Familia,1
2009,Familia,3
2010,Familia,4
2005,Familia,3
2006,Familia,2
2008,Familia,4
2009,Familia,6
2010,Familia,7
2006,Familia,1
2007,Familia,1
2008,Familia,5
2009,Familia,3
2010,Familia,6
2005,Familia,1
2006,Familia,1
2008,Familia,4
2009,Familia,2
2010,Familia,2
2005,Familia,1
2006,Familia,2
2007,Familia,1
2008,Familia,18
2009,Familia,34
2010,Familia,36
2007,Familia,3
2008,Familia,4
2009,Familia,14
2010,Familia,13
2010,Familia,1
2005,Familia,2
2009,Familia,2
2010,Familia,13
2008,Familia,30
2009,Familia,32
2010,Familia,34
2004,Familia,3
2005,Familia,3
2006,Familia,32
2007,Familia,18
2008,Familia,27
2009,Familia,68
2010,Familia,69
2005,Familia,1
2009,Familia,2
2010,Familia,7
2005,Familia,1
2008,Familia,1
2009,Familia,1
2005,Familia,2
2007,Familia,1
2008,Familia,3
2010,Familia,3
2009,Familia,3
2010,Familia,3
2005,Familia,1
2008,Familia,4
2009,Familia,6
2010,Familia,3
2009,Familia,1
2010,Familia,1
2008,Familia,2
2009,Familia,2
2010,Familia,3
2005,Familia,1
2007,Familia,1
2009,Familia,2
2010,Familia,3
2006,Familia,2
2007,Familia,1
2010,Familia,1
2009,Familia,2
2010,Familia,1
2007,Familia,1
2008,Familia,2
2004,Familia,1
2005,Familia,1
2006,Familia,5
2007,Familia,2
2008,Familia,5
2009,Familia,3
2010,Familia,3
2005,Familia,2
2008,Familia,5
2009,Familia,3
2010,Familia,5
2007,Familia,1
2005,Familia,2
2006,Familia,1
2008,Familia,2
2010,Familia,2
