A,B,Weight
2006,Golfo,1
2007,Golfo,1
2008,Golfo,2
2009,Golfo,2
2001,Golfo,2
2005,Golfo,1
2008,Golfo,1
2009,Golfo,1
2000,Golfo,1
2002,Golfo,1
2003,Golfo,1
2006,Golfo,1
2007,Golfo,1
2008,Golfo,2
2009,Golfo,3
2010,Golfo,1
2000,Golfo,3
2003,Golfo,3
2004,Golfo,4
2005,Golfo,2
2006,Golfo,3
2007,Golfo,10
2008,Golfo,14
2009,Golfo,14
2010,Golfo,17
2000,Golfo,2
2002,Golfo,1
2004,Golfo,1
2005,Golfo,1
2007,Golfo,1
2008,Golfo,4
2009,Golfo,2
2002,Golfo,1
2004,Golfo,2
2005,Golfo,4
2006,Golfo,2
2007,Golfo,4
2008,Golfo,15
2009,Golfo,10
2010,Golfo,11
2003,Golfo,3
2005,Golfo,6
2006,Golfo,3
2007,Golfo,8
2008,Golfo,3
2009,Golfo,10
2010,Golfo,7
2005,Golfo,3
2006,Golfo,3
2007,Golfo,3
2008,Golfo,4
2009,Golfo,2
2010,Golfo,5
2002,Golfo,1
2003,Golfo,1
2004,Golfo,2
2005,Golfo,1
2006,Golfo,2
2007,Golfo,1
2008,Golfo,6
2009,Golfo,4
2010,Golfo,5
2004,Golfo,2
2005,Golfo,3
2006,Golfo,4
2007,Golfo,1
2008,Golfo,27
2009,Golfo,22
2010,Golfo,17
2002,Golfo,1
2004,Golfo,1
2005,Golfo,1
2006,Golfo,2
2007,Golfo,6
2008,Golfo,2
2009,Golfo,3
2010,Golfo,4
2006,Golfo,1
2007,Golfo,3
2008,Golfo,5
2009,Golfo,6
2010,Golfo,2
2004,Golfo,3
2005,Golfo,5
2006,Golfo,6
2007,Golfo,5
2008,Golfo,5
2009,Golfo,7
2010,Golfo,13
2000,Golfo,1
2001,Golfo,1
2003,Golfo,3
2004,Golfo,3
2005,Golfo,8
2006,Golfo,6
2007,Golfo,3
2008,Golfo,11
2009,Golfo,3
2010,Golfo,6
2000,Golfo,1
2004,Golfo,5
2005,Golfo,16
2006,Golfo,19
2007,Golfo,21
2008,Golfo,21
2009,Golfo,10
2010,Golfo,9
2006,Golfo,3
2007,Golfo,4
2008,Golfo,3
2010,Golfo,2
2000,Golfo,2
2001,Golfo,1
2002,Golfo,1
2003,Golfo,2
2004,Golfo,3
2005,Golfo,7
2006,Golfo,13
2007,Golfo,29
2008,Golfo,20
2009,Golfo,31
2010,Golfo,35
2004,Golfo,1
2005,Golfo,2
2006,Golfo,1
2007,Golfo,5
2008,Golfo,9
2009,Golfo,4
2010,Golfo,4
2000,Golfo,1
2004,Golfo,1
2005,Golfo,3
2006,Golfo,3
2007,Golfo,3
2008,Golfo,12
2009,Golfo,17
2010,Golfo,7
2007,Golfo,2
2008,Golfo,1
2009,Golfo,1
2010,Golfo,1
2000,Golfo,1
2005,Golfo,1
2006,Golfo,3
2007,Golfo,3
2008,Golfo,4
2009,Golfo,7
2010,Golfo,4
2003,Golfo,1
2005,Golfo,1
2006,Golfo,1
2007,Golfo,2
2008,Golfo,7
2009,Golfo,3
2010,Golfo,5
2000,Golfo,1
2001,Golfo,1
2004,Golfo,1
2006,Golfo,3
2007,Golfo,5
2008,Golfo,2
2009,Golfo,3
2010,Golfo,3
2005,Golfo,2
2006,Golfo,2
2007,Golfo,4
2008,Golfo,6
2009,Golfo,5
2010,Golfo,4
2006,Golfo,10
2007,Golfo,10
2008,Golfo,14
2009,Golfo,13
2010,Golfo,10
2000,Golfo,4
2001,Golfo,4
2002,Golfo,2
2003,Golfo,9
2004,Golfo,7
2005,Golfo,8
2006,Golfo,13
2007,Golfo,27
2008,Golfo,25
2009,Golfo,29
2010,Golfo,33
2000,Golfo,3
2002,Golfo,1
2003,Golfo,6
2004,Golfo,2
2005,Golfo,7
2006,Golfo,5
2007,Golfo,19
2008,Golfo,24
2009,Golfo,25
2010,Golfo,23
2000,Golfo,3
2002,Golfo,1
2003,Golfo,2
2004,Golfo,1
2005,Golfo,2
2006,Golfo,1
2007,Golfo,4
2008,Golfo,4
2009,Golfo,4
2010,Golfo,3
2000,Golfo,1
2004,Golfo,2
2005,Golfo,2
2006,Golfo,1
2007,Golfo,5
2008,Golfo,12
2009,Golfo,13
2010,Golfo,13
