A,B,Weight
2002,Juarez,1
2004,Juarez,1
2005,Juarez,1
2006,Juarez,1
2008,Juarez,1
2010,Juarez,1
2003,Juarez,1
2005,Juarez,1
2007,Juarez,1
2005,Juarez,1
2001,Juarez,1
2002,Juarez,3
2003,Juarez,5
2004,Juarez,1
2005,Juarez,5
2006,Juarez,2
2007,Juarez,1
2008,Juarez,2
2009,Juarez,4
2010,Juarez,8
2001,Juarez,1
2003,Juarez,1
2005,Juarez,1
2007,Juarez,1
2010,Juarez,1
2000,Juarez,1
2005,Juarez,3
2006,Juarez,4
2007,Juarez,2
2009,Juarez,1
2001,Juarez,1
2002,Juarez,4
2003,Juarez,2
2004,Juarez,6
2005,Juarez,6
2006,Juarez,5
2007,Juarez,11
2008,Juarez,27
2009,Juarez,28
2010,Juarez,28
2005,Juarez,1
2006,Juarez,1
2007,Juarez,1
2010,Juarez,2
2003,Juarez,3
2006,Juarez,1
2007,Juarez,5
2008,Juarez,2
2009,Juarez,1
2010,Juarez,4
2001,Juarez,1
2002,Juarez,1
2005,Juarez,1
2006,Juarez,3
2007,Juarez,2
2010,Juarez,1
2000,Juarez,1
2002,Juarez,1
2003,Juarez,1
2004,Juarez,1
2007,Juarez,1
2008,Juarez,3
2010,Juarez,3
2003,Juarez,2
2007,Juarez,1
2008,Juarez,1
2009,Juarez,2
2010,Juarez,1
2001,Juarez,1
2006,Juarez,3
2007,Juarez,4
2009,Juarez,3
2010,Juarez,2
2005,Juarez,3
2006,Juarez,1
2007,Juarez,2
2008,Juarez,2
2009,Juarez,1
2010,Juarez,1
2004,Juarez,1
2009,Juarez,2
2010,Juarez,1
2006,Juarez,1
2001,Juarez,1
2004,Juarez,1
2005,Juarez,2
2006,Juarez,3
2008,Juarez,1
2009,Juarez,2
2010,Juarez,2
2001,Juarez,1
2008,Juarez,1
2009,Juarez,2
2010,Juarez,2
2005,Juarez,1
2008,Juarez,1
2009,Juarez,1
2003,Juarez,1
2004,Juarez,1
2005,Juarez,2
2007,Juarez,1
2008,Juarez,5
2009,Juarez,5
2010,Juarez,8
2000,Juarez,1
2001,Juarez,1
2004,Juarez,2
2005,Juarez,2
2006,Juarez,1
2007,Juarez,2
2008,Juarez,1
2009,Juarez,2
2010,Juarez,3
2005,Juarez,1
2000,Juarez,2
2002,Juarez,3
2003,Juarez,1
2004,Juarez,1
2005,Juarez,2
2006,Juarez,1
2007,Juarez,2
2009,Juarez,2
2010,Juarez,2
2000,Juarez,1
2001,Juarez,2
2002,Juarez,1
2004,Juarez,2
2005,Juarez,1
2006,Juarez,1
2007,Juarez,1
2008,Juarez,2
2009,Juarez,1
2010,Juarez,2
2000,Juarez,1
2001,Juarez,1
2002,Juarez,1
2004,Juarez,1
2007,Juarez,2
2009,Juarez,1
2010,Juarez,1
2005,Juarez,1
2006,Juarez,1
2007,Juarez,2
2009,Juarez,1
2010,Juarez,1
