A,B,Weight
2004,Otros,1
2006,Otros,4
2007,Otros,5
2008,Otros,5
2009,Otros,5
2010,Otros,5
2008,Otros,1
2009,Otros,2
2010,Otros,2
2009,Otros,1
2007,Otros,2
2009,Otros,2
2010,Otros,4
2008,Otros,1
2010,Otros,1
2008,Otros,3
2009,Otros,2
2010,Otros,3
2010,Otros,5
2007,Otros,1
2009,Otros,1
2008,Otros,1
2009,Otros,1
2007,Otros,1
2008,Otros,3
2009,Otros,3
2005,Otros,1
2007,Otros,1
2009,Otros,2
2010,Otros,1
2004,Otros,1
2007,Otros,2
2008,Otros,7
2009,Otros,2
2010,Otros,6
2006,Otros,1
2008,Otros,1
2009,Otros,4
2010,Otros,5
2008,Otros,1
2009,Otros,1
2010,Otros,6
2009,Otros,1
2006,Otros,1
2009,Otros,3
2010,Otros,3
2007,Otros,1
2007,Otros,1
2008,Otros,1
2009,Otros,1
2007,Otros,1
2009,Otros,1
2010,Otros,1
2004,Otros,1
2005,Otros,1
2006,Otros,2
2007,Otros,1
2008,Otros,2
2009,Otros,3
2010,Otros,3
2007,Otros,1
2009,Otros,1
2010,Otros,1
2006,Otros,3
2007,Otros,3
2008,Otros,5
2009,Otros,3
2010,Otros,6
2003,Otros,1
2004,Otros,1
2006,Otros,1
2007,Otros,2
2008,Otros,1
2009,Otros,3
2010,Otros,1
2006,Otros,1
2009,Otros,1
2010,Otros,1
