A,B,Weight
2007,Sinaloa_Family,1
2008,Sinaloa_Family,1
2009,Sinaloa_Family,1
2010,Sinaloa_Family,1
2008,Sinaloa_Family,1
2009,Sinaloa_Family,1
2007,Sinaloa_Family,1
2010,Sinaloa_Family,1
2008,Sinaloa_Family,1
2009,Sinaloa_Family,1
2010,Sinaloa_Family,1
2001,Sinaloa_Family,2
2006,Sinaloa_Family,1
2008,Sinaloa_Family,3
2009,Sinaloa_Family,3
2010,Sinaloa_Family,3
2008,Sinaloa_Family,4
2009,Sinaloa_Family,2
2010,Sinaloa_Family,1
2008,Sinaloa_Family,2
2009,Sinaloa_Family,3
2010,Sinaloa_Family,4
2007,Sinaloa_Family,1
2008,Sinaloa_Family,1
2010,Sinaloa_Family,2
2001,Sinaloa_Family,1
2002,Sinaloa_Family,1
2003,Sinaloa_Family,1
2005,Sinaloa_Family,6
2007,Sinaloa_Family,2
2008,Sinaloa_Family,8
2009,Sinaloa_Family,10
2010,Sinaloa_Family,9
2009,Sinaloa_Family,1
2010,Sinaloa_Family,4
2008,Sinaloa_Family,2
2009,Sinaloa_Family,2
2010,Sinaloa_Family,4
2008,Sinaloa_Family,4
2009,Sinaloa_Family,3
2010,Sinaloa_Family,4
2009,Sinaloa_Family,1
2010,Sinaloa_Family,9
2010,Sinaloa_Family,1
2007,Sinaloa_Family,1
2008,Sinaloa_Family,2
2010,Sinaloa_Family,1
2007,Sinaloa_Family,1
2008,Sinaloa_Family,1
2010,Sinaloa_Family,1
2008,Sinaloa_Family,2
2009,Sinaloa_Family,3
2010,Sinaloa_Family,3
2009,Sinaloa_Family,2
2010,Sinaloa_Family,1
2008,Sinaloa_Family,3
2009,Sinaloa_Family,2
2010,Sinaloa_Family,2
2001,Sinaloa_Family,1
2007,Sinaloa_Family,2
2007,Sinaloa_Family,1
2008,Sinaloa_Family,1
2009,Sinaloa_Family,1
2008,Sinaloa_Family,1
2009,Sinaloa_Family,2
2010,Sinaloa_Family,1
