A,B,Weight
2001,Sinaloa,1
2005,Sinaloa,1
2007,Sinaloa,2
2008,Sinaloa,1
2009,Sinaloa,1
2010,Sinaloa,2
2000,Sinaloa,2
2001,Sinaloa,1
2002,Sinaloa,2
2005,Sinaloa,2
2006,Sinaloa,1
2007,Sinaloa,3
2008,Sinaloa,2
2010,Sinaloa,3
2006,Sinaloa,1
2009,Sinaloa,1
2010,Sinaloa,1
2004,Sinaloa,1
2005,Sinaloa,1
2006,Sinaloa,1
2001,Sinaloa,1
2005,Sinaloa,3
2006,Sinaloa,3
2007,Sinaloa,1
2008,Sinaloa,10
2009,Sinaloa,4
2010,Sinaloa,2
2001,Sinaloa,1
2003,Sinaloa,1
2004,Sinaloa,1
2005,Sinaloa,1
2006,Sinaloa,1
2007,Sinaloa,2
2008,Sinaloa,2
2009,Sinaloa,2
2010,Sinaloa,4
2003,Sinaloa,1
2004,Sinaloa,1
2005,Sinaloa,1
2006,Sinaloa,2
2007,Sinaloa,3
2009,Sinaloa,1
2000,Sinaloa,4
2001,Sinaloa,2
2004,Sinaloa,4
2005,Sinaloa,5
2006,Sinaloa,9
2007,Sinaloa,9
2008,Sinaloa,15
2009,Sinaloa,32
2010,Sinaloa,34
2001,Sinaloa,1
2005,Sinaloa,2
2006,Sinaloa,1
2007,Sinaloa,5
2008,Sinaloa,10
2009,Sinaloa,7
2010,Sinaloa,4
2001,Sinaloa,3
2002,Sinaloa,1
2004,Sinaloa,1
2005,Sinaloa,3
2006,Sinaloa,2
2007,Sinaloa,6
2008,Sinaloa,9
2009,Sinaloa,19
2010,Sinaloa,20
2000,Sinaloa,2
2004,Sinaloa,2
2005,Sinaloa,1
2006,Sinaloa,3
2007,Sinaloa,8
2008,Sinaloa,3
2009,Sinaloa,2
2010,Sinaloa,2
2000,Sinaloa,1
2002,Sinaloa,1
2005,Sinaloa,1
2006,Sinaloa,4
2007,Sinaloa,4
2008,Sinaloa,10
2009,Sinaloa,3
2010,Sinaloa,7
2001,Sinaloa,1
2009,Sinaloa,1
2010,Sinaloa,1
2000,Sinaloa,2
2001,Sinaloa,3
2002,Sinaloa,2
2003,Sinaloa,1
2004,Sinaloa,2
2005,Sinaloa,6
2006,Sinaloa,5
2007,Sinaloa,6
2008,Sinaloa,11
2009,Sinaloa,11
2010,Sinaloa,16
2001,Sinaloa,1
2003,Sinaloa,2
2004,Sinaloa,8
2005,Sinaloa,3
2006,Sinaloa,3
2007,Sinaloa,10
2008,Sinaloa,8
2009,Sinaloa,9
2010,Sinaloa,5
2005,Sinaloa,3
2006,Sinaloa,8
2007,Sinaloa,6
2008,Sinaloa,3
2009,Sinaloa,4
2010,Sinaloa,3
2000,Sinaloa,1
2002,Sinaloa,1
2005,Sinaloa,3
2007,Sinaloa,2
2008,Sinaloa,5
2009,Sinaloa,1
2010,Sinaloa,3
2003,Sinaloa,1
2004,Sinaloa,1
2005,Sinaloa,2
2006,Sinaloa,1
2008,Sinaloa,1
2009,Sinaloa,1
2010,Sinaloa,3
2000,Sinaloa,1
2001,Sinaloa,2
2003,Sinaloa,1
2004,Sinaloa,4
2005,Sinaloa,6
2006,Sinaloa,5
2007,Sinaloa,7
2008,Sinaloa,10
2009,Sinaloa,4
2010,Sinaloa,8
2000,Sinaloa,1
2006,Sinaloa,1
2007,Sinaloa,1
2008,Sinaloa,1
2009,Sinaloa,3
2010,Sinaloa,1
2001,Sinaloa,1
2002,Sinaloa,1
2006,Sinaloa,1
2007,Sinaloa,2
2008,Sinaloa,2
2009,Sinaloa,1
2010,Sinaloa,2
2004,Sinaloa,1
2005,Sinaloa,1
2006,Sinaloa,1
2009,Sinaloa,1
2010,Sinaloa,2
2007,Sinaloa,1
2008,Sinaloa,2
2009,Sinaloa,1
2010,Sinaloa,3
2010,Sinaloa,1
2000,Sinaloa,1
2001,Sinaloa,1
2002,Sinaloa,3
2003,Sinaloa,4
2004,Sinaloa,6
2005,Sinaloa,12
2006,Sinaloa,7
2007,Sinaloa,13
2008,Sinaloa,13
2009,Sinaloa,14
2010,Sinaloa,14
2000,Sinaloa,1
2001,Sinaloa,1
2003,Sinaloa,3
2004,Sinaloa,2
2005,Sinaloa,5
2006,Sinaloa,6
2007,Sinaloa,8
2008,Sinaloa,6
2009,Sinaloa,9
2010,Sinaloa,8
2005,Sinaloa,1
2008,Sinaloa,1
2010,Sinaloa,1
2003,Sinaloa,1
2004,Sinaloa,2
2005,Sinaloa,4
2006,Sinaloa,5
2007,Sinaloa,3
2008,Sinaloa,6
2009,Sinaloa,6
2010,Sinaloa,6
2000,Sinaloa,1
2001,Sinaloa,1
2002,Sinaloa,1
2005,Sinaloa,3
2006,Sinaloa,1
2007,Sinaloa,2
2008,Sinaloa,7
2009,Sinaloa,3
2010,Sinaloa,13
2006,Sinaloa,2
2007,Sinaloa,2
2008,Sinaloa,1
2009,Sinaloa,2
2010,Sinaloa,2
2004,Sinaloa,2
2005,Sinaloa,3
2006,Sinaloa,1
2007,Sinaloa,3
2008,Sinaloa,3
2009,Sinaloa,4
2010,Sinaloa,5
