A,B,Weight
2003,Tijuana,1
2006,Tijuana,1
2000,Tijuana,4
2001,Tijuana,3
2002,Tijuana,2
2003,Tijuana,2
2004,Tijuana,5
2005,Tijuana,5
2006,Tijuana,5
2007,Tijuana,5
2008,Tijuana,5
2009,Tijuana,5
2010,Tijuana,5
2001,Tijuana,1
2005,Tijuana,1
2006,Tijuana,2
2007,Tijuana,2
2008,Tijuana,1
2009,Tijuana,2
2010,Tijuana,3
2003,Tijuana,1
2005,Tijuana,2
2008,Tijuana,1
2009,Tijuana,3
2010,Tijuana,6
2010,Tijuana,1
2002,Tijuana,1
2003,Tijuana,1
2005,Tijuana,1
2006,Tijuana,1
2007,Tijuana,1
2002,Tijuana,1
2003,Tijuana,1
2004,Tijuana,1
2006,Tijuana,6
2007,Tijuana,4
2008,Tijuana,5
2009,Tijuana,5
2010,Tijuana,2
2000,Tijuana,1
2001,Tijuana,2
2004,Tijuana,1
2009,Tijuana,2
2010,Tijuana,2
2004,Tijuana,1
2007,Tijuana,1
2009,Tijuana,3
2010,Tijuana,1
2000,Tijuana,1
2010,Tijuana,1
2003,Tijuana,1
2007,Tijuana,1
2002,Tijuana,1
2003,Tijuana,2
2005,Tijuana,1
2006,Tijuana,1
2007,Tijuana,2
2008,Tijuana,1
2009,Tijuana,1
2010,Tijuana,1
2000,Tijuana,2
2001,Tijuana,1
2002,Tijuana,2
2003,Tijuana,1
2004,Tijuana,2
2005,Tijuana,4
2006,Tijuana,4
2007,Tijuana,6
2008,Tijuana,4
2009,Tijuana,2
2010,Tijuana,3
2001,Tijuana,1
2003,Tijuana,1
2006,Tijuana,1
2007,Tijuana,1
2008,Tijuana,3
2009,Tijuana,3
2010,Tijuana,3
2007,Tijuana,1
2001,Tijuana,1
2002,Tijuana,1
2003,Tijuana,1
2004,Tijuana,1
2007,Tijuana,1
2008,Tijuana,1
2009,Tijuana,1
2010,Tijuana,1
2002,Tijuana,1
2003,Tijuana,1
2004,Tijuana,1
2006,Tijuana,3
2007,Tijuana,2
2008,Tijuana,2
2010,Tijuana,1
2001,Tijuana,1
2002,Tijuana,1
2001,Tijuana,1
2006,Tijuana,1
2001,Tijuana,1
2002,Tijuana,1
2003,Tijuana,3
2004,Tijuana,1
2005,Tijuana,1
2006,Tijuana,2
2007,Tijuana,1
2008,Tijuana,1
2009,Tijuana,4
2010,Tijuana,4
2001,Tijuana,2
2002,Tijuana,2
2003,Tijuana,1
2004,Tijuana,1
2006,Tijuana,1
2008,Tijuana,2
2009,Tijuana,2
2010,Tijuana,3
2000,Tijuana,4
2002,Tijuana,4
2004,Tijuana,1
2005,Tijuana,1
2006,Tijuana,1
2007,Tijuana,1
2008,Tijuana,2
2009,Tijuana,3
2005,Tijuana,1
2009,Tijuana,1
2010,Tijuana,2
2006,Tijuana,2
