A,B,Weight
2004,Zetas,2
2006,Zetas,2
2007,Zetas,5
2008,Zetas,2
2009,Zetas,5
2010,Zetas,5
2007,Zetas,1
2008,Zetas,1
2009,Zetas,2
2010,Zetas,2
2003,Zetas,1
2004,Zetas,1
2006,Zetas,2
2007,Zetas,3
2008,Zetas,3
2009,Zetas,3
2010,Zetas,2
2004,Zetas,4
2005,Zetas,3
2006,Zetas,8
2007,Zetas,14
2008,Zetas,12
2009,Zetas,15
2010,Zetas,17
2008,Zetas,1
2009,Zetas,3
2010,Zetas,1
2005,Zetas,6
2006,Zetas,2
2007,Zetas,6
2008,Zetas,17
2009,Zetas,21
2010,Zetas,21
2004,Zetas,1
2005,Zetas,5
2006,Zetas,2
2007,Zetas,8
2008,Zetas,6
2009,Zetas,8
2010,Zetas,8
2001,Zetas,1
2005,Zetas,2
2006,Zetas,1
2007,Zetas,6
2008,Zetas,3
2009,Zetas,4
2010,Zetas,1
2004,Zetas,3
2005,Zetas,2
2006,Zetas,2
2007,Zetas,2
2008,Zetas,8
2009,Zetas,9
2010,Zetas,11
2003,Zetas,3
2005,Zetas,2
2006,Zetas,2
2007,Zetas,4
2008,Zetas,15
2009,Zetas,30
2010,Zetas,23
2005,Zetas,3
2006,Zetas,6
2007,Zetas,8
2008,Zetas,11
2009,Zetas,14
2010,Zetas,13
2006,Zetas,2
2007,Zetas,5
2008,Zetas,8
2009,Zetas,12
2010,Zetas,13
2003,Zetas,1
2004,Zetas,1
2005,Zetas,6
2006,Zetas,7
2007,Zetas,4
2008,Zetas,7
2009,Zetas,14
2010,Zetas,16
2003,Zetas,1
2004,Zetas,7
2005,Zetas,2
2006,Zetas,1
2007,Zetas,4
2008,Zetas,29
2009,Zetas,34
2010,Zetas,23
2004,Zetas,3
2005,Zetas,6
2006,Zetas,17
2007,Zetas,22
2008,Zetas,28
2009,Zetas,24
2010,Zetas,20
2005,Zetas,1
2006,Zetas,1
2007,Zetas,2
2008,Zetas,3
2009,Zetas,2
2010,Zetas,3
2006,Zetas,1
2007,Zetas,1
2008,Zetas,1
2009,Zetas,2
2010,Zetas,2
2003,Zetas,4
2004,Zetas,5
2005,Zetas,6
2006,Zetas,15
2007,Zetas,25
2008,Zetas,20
2009,Zetas,34
2010,Zetas,46
2005,Zetas,1
2006,Zetas,4
2007,Zetas,5
2008,Zetas,10
2009,Zetas,10
2010,Zetas,18
2004,Zetas,3
2005,Zetas,2
2006,Zetas,2
2007,Zetas,4
2008,Zetas,24
2009,Zetas,26
2010,Zetas,21
2008,Zetas,1
2010,Zetas,3
2005,Zetas,1
2006,Zetas,3
2007,Zetas,1
2008,Zetas,7
2009,Zetas,5
2010,Zetas,5
2006,Zetas,2
2007,Zetas,2
2008,Zetas,2
2009,Zetas,4
2010,Zetas,4
2001,Zetas,1
2003,Zetas,2
2004,Zetas,3
2005,Zetas,3
2006,Zetas,8
2007,Zetas,6
2008,Zetas,3
2009,Zetas,7
2010,Zetas,7
2005,Zetas,2
2006,Zetas,5
2007,Zetas,5
2008,Zetas,10
2009,Zetas,4
2010,Zetas,8
2006,Zetas,3
2007,Zetas,8
2008,Zetas,14
2009,Zetas,16
2010,Zetas,16
2001,Zetas,1
2002,Zetas,1
2003,Zetas,4
2004,Zetas,4
2005,Zetas,8
2006,Zetas,10
2007,Zetas,13
2008,Zetas,21
2009,Zetas,23
2010,Zetas,34
2007,Zetas,1
2008,Zetas,1
2009,Zetas,1
2010,Zetas,1
2003,Zetas,3
2005,Zetas,9
2006,Zetas,10
2007,Zetas,16
2008,Zetas,36
2009,Zetas,36
2010,Zetas,41
2003,Zetas,2
2004,Zetas,2
2005,Zetas,3
2006,Zetas,1
2007,Zetas,2
2008,Zetas,5
2009,Zetas,5
2010,Zetas,7
2005,Zetas,2
2007,Zetas,7
2008,Zetas,12
2009,Zetas,14
2010,Zetas,13
